<Date>, <Time>, <Open>, <High>, <Low>, <Close>, <Volume>
2019/8/1 星期四,09:05:00,9284,9324,9259,9302,15314
2019/8/1 星期四,09:10:00,9302,9364,9302,9364,18270
2019/8/1 星期四,09:15:00,9365,9397,9356,9365,17630
2019/8/1 星期四,09:20:00,9366,9372,9347,9360,6442
2019/8/1 星期四,09:25:00,9360,9363,9345,9356,4600
2019/8/1 星期四,09:30:00,9356,9362,9352,9362,1686
2019/8/1 星期四,09:35:00,9360,9369,9351,9357,2388
2019/8/1 星期四,09:40:00,9358,9361,9351,9360,1184
2019/8/1 星期四,09:45:00,9360,9362,9353,9357,862
2019/8/1 星期四,09:50:00,9357,9360,9329,9338,3204
2019/8/1 星期四,09:55:00,9337,9337,9307,9315,14888
2019/8/1 星期四,10:00:00,9313,9319,9300,9307,6736
2019/8/1 星期四,10:05:00,9310,9315,9300,9301,3920
2019/8/1 星期四,10:10:00,9298,9318,9297,9311,3306
2019/8/1 星期四,10:15:00,9309,9314,9305,9310,1364
2019/8/1 星期四,10:35:00,9313,9315,9292,9298,2900
2019/8/1 星期四,10:40:00,9297,9302,9292,9301,2996
2019/8/1 星期四,10:45:00,9301,9310,9292,9308,3372
2019/8/1 星期四,10:50:00,9306,9311,9303,9307,1508
2019/8/1 星期四,10:55:00,9308,9313,9303,9304,942
2019/8/1 星期四,11:00:00,9304,9310,9294,9305,1506
2019/8/1 星期四,11:05:00,9302,9302,9285,9295,4312
2019/8/1 星期四,11:10:00,9295,9299,9288,9298,2516
2019/8/1 星期四,11:15:00,9299,9308,9295,9301,1914
2019/8/1 星期四,11:20:00,9299,9305,9296,9302,998
2019/8/1 星期四,11:25:00,9303,9307,9297,9301,1140
2019/8/1 星期四,11:30:00,9303,9309,9299,9308,1188
2019/8/1 星期四,13:35:00,9308,9345,9300,9316,6060
2019/8/1 星期四,13:40:00,9318,9321,9311,9314,1694
2019/8/1 星期四,13:45:00,9314,9318,9293,9298,2294
2019/8/1 星期四,13:50:00,9299,9304,9273,9284,9864
2019/8/1 星期四,13:55:00,9287,9290,9280,9282,3864
2019/8/1 星期四,14:00:00,9280,9283,9243,9251,13086
2019/8/1 星期四,14:05:00,9249,9265,9234,9257,10498
2019/8/1 星期四,14:10:00,9258,9263,9247,9249,4988
2019/8/1 星期四,14:15:00,9249,9263,9237,9257,5170
2019/8/1 星期四,14:20:00,9256,9276,9247,9251,4650
2019/8/1 星期四,14:25:00,9251,9258,9247,9255,1620
2019/8/1 星期四,14:30:00,9254,9261,9252,9254,1612
2019/8/1 星期四,14:35:00,9256,9276,9253,9262,2560
2019/8/1 星期四,14:40:00,9262,9262,9255,9257,1466
2019/8/1 星期四,14:45:00,9258,9260,9250,9254,1634
2019/8/1 星期四,14:50:00,9255,9259,9222,9224,9956
2019/8/1 星期四,14:55:00,9225,9233,9215,9223,7026
2019/8/1 星期四,15:00:00,9222,9223,9210,9216,10096
2019/8/2 星期五,09:05:00,9156,9217,9126,9190,27234
2019/8/2 星期五,09:10:00,9191,9329,9183,9266,29170
2019/8/2 星期五,09:15:00,9268,9280,9255,9278,5688
2019/8/2 星期五,09:20:00,9278,9288,9266,9280,3976
2019/8/2 星期五,09:25:00,9278,9295,9271,9282,5398
2019/8/2 星期五,09:30:00,9280,9284,9261,9264,3182
2019/8/2 星期五,09:35:00,9266,9271,9252,9255,3574
2019/8/2 星期五,09:40:00,9255,9273,9255,9267,3264
2019/8/2 星期五,09:45:00,9267,9269,9248,9254,1936
2019/8/2 星期五,09:50:00,9252,9262,9248,9258,1892
2019/8/2 星期五,09:55:00,9257,9289,9256,9268,3726
2019/8/2 星期五,10:00:00,9268,9270,9258,9265,1542
2019/8/2 星期五,10:05:00,9264,9286,9264,9280,2524
2019/8/2 星期五,10:10:00,9281,9281,9268,9275,944
2019/8/2 星期五,10:15:00,9273,9295,9272,9289,3446
2019/8/2 星期五,10:35:00,9287,9310,9277,9282,5070
2019/8/2 星期五,10:40:00,9283,9285,9276,9283,1032
2019/8/2 星期五,10:45:00,9284,9286,9279,9284,716
2019/8/2 星期五,10:50:00,9285,9285,9277,9280,728
2019/8/2 星期五,10:55:00,9280,9281,9255,9262,3236
2019/8/2 星期五,11:00:00,9263,9284,9259,9273,2220
2019/8/2 星期五,11:05:00,9271,9275,9265,9269,1200
2019/8/2 星期五,11:10:00,9270,9289,9268,9281,1424
2019/8/2 星期五,11:15:00,9281,9283,9277,9279,676
2019/8/2 星期五,11:20:00,9279,9284,9278,9282,904
2019/8/2 星期五,11:25:00,9283,9320,9279,9312,7116
2019/8/2 星期五,11:30:00,9313,9334,9305,9311,11780
2019/8/2 星期五,13:35:00,9309,9326,9300,9310,3818
2019/8/2 星期五,13:40:00,9311,9314,9303,9308,1518
2019/8/2 星期五,13:45:00,9306,9318,9305,9306,2012
2019/8/2 星期五,13:50:00,9305,9313,9300,9306,1614
2019/8/2 星期五,13:55:00,9307,9323,9306,9319,2328
2019/8/2 星期五,14:00:00,9320,9321,9286,9289,4992
2019/8/2 星期五,14:05:00,9289,9296,9277,9291,6112
2019/8/2 星期五,14:10:00,9292,9311,9289,9300,3022
2019/8/2 星期五,14:15:00,9302,9308,9298,9299,1074
2019/8/2 星期五,14:20:00,9298,9307,9298,9299,1012
2019/8/2 星期五,14:25:00,9298,9314,9298,9307,2314
2019/8/2 星期五,14:30:00,9307,9313,9304,9308,1050
2019/8/2 星期五,14:35:00,9310,9318,9301,9303,2048
2019/8/2 星期五,14:40:00,9304,9312,9301,9303,1560
2019/8/2 星期五,14:45:00,9303,9314,9303,9309,1316
2019/8/2 星期五,14:50:00,9310,9349,9310,9322,11146
2019/8/2 星期五,14:55:00,9322,9330,9319,9324,3308
2019/8/2 星期五,15:00:00,9326,9338,9320,9338,6928
2019/8/5 星期一,09:05:00,9345,9384,9303,9316,15154
2019/8/5 星期一,09:10:00,9315,9315,9294,9302,5670
2019/8/5 星期一,09:15:00,9302,9320,9302,9310,4774
