<Date>, <Time>, <Open>, <High>, <Low>, <Close>, <Volume>
2019/9/2 星期一,09:05:00,2276,2277,2267,2268,6650
2019/9/2 星期一,09:10:00,2268,2276,2268,2276,5578
2019/9/2 星期一,09:15:00,2276,2278,2276,2277,4670
2019/9/2 星期一,09:20:00,2277,2277,2274,2275,1112
2019/9/2 星期一,09:25:00,2275,2276,2274,2275,766
2019/9/2 星期一,09:30:00,2275,2276,2274,2275,1032
2019/9/2 星期一,09:35:00,2275,2279,2275,2279,1894
2019/9/2 星期一,09:40:00,2278,2279,2276,2277,3644
2019/9/2 星期一,09:45:00,2276,2278,2276,2276,574
2019/9/2 星期一,09:50:00,2277,2278,2275,2277,1318
2019/9/2 星期一,09:55:00,2277,2278,2276,2277,1062
2019/9/2 星期一,10:00:00,2276,2277,2275,2277,618
2019/9/2 星期一,10:05:00,2276,2276,2274,2274,2324
2019/9/2 星期一,10:10:00,2274,2275,2274,2275,1554
2019/9/2 星期一,10:15:00,2275,2277,2274,2275,2302
2019/9/2 星期一,10:35:00,2275,2277,2274,2275,1268
2019/9/2 星期一,10:40:00,2275,2275,2274,2274,446
2019/9/2 星期一,10:45:00,2274,2276,2273,2275,1426
2019/9/2 星期一,10:50:00,2275,2276,2275,2276,136
2019/9/2 星期一,10:55:00,2276,2277,2275,2276,480
2019/9/2 星期一,11:00:00,2277,2277,2276,2276,418
2019/9/2 星期一,11:05:00,2275,2276,2275,2276,244
2019/9/2 星期一,11:10:00,2276,2276,2274,2275,676
2019/9/2 星期一,11:15:00,2274,2276,2274,2276,780
2019/9/2 星期一,11:20:00,2275,2276,2275,2276,222
2019/9/2 星期一,11:25:00,2276,2276,2275,2275,192
2019/9/2 星期一,11:30:00,2275,2276,2275,2275,156
2019/9/2 星期一,13:35:00,2275,2275,2273,2274,1996
2019/9/2 星期一,13:40:00,2274,2276,2274,2275,636
2019/9/2 星期一,13:45:00,2275,2278,2275,2277,1458
2019/9/2 星期一,13:50:00,2278,2278,2277,2277,340
2019/9/2 星期一,13:55:00,2277,2278,2277,2278,884
2019/9/2 星期一,14:00:00,2278,2278,2277,2278,216
2019/9/2 星期一,14:05:00,2277,2278,2277,2277,218
