<Date>, <Time>, <Open>, <High>, <Low>, <Close>, <Volume>
2019/7/31 星期三,21:05:00,2143.0,2143.0,2132.5,2137.5,13092
2019/7/31 星期三,21:10:00,2137.5,2142.5,2137.0,2141.0,4302
2019/7/31 星期三,21:15:00,2140.5,2140.5,2137.0,2137.5,2370
2019/7/31 星期三,21:20:00,2138.0,2140.0,2137.0,2139.0,2074
2019/7/31 星期三,21:25:00,2138.5,2145.5,2138.0,2144.5,5886
2019/7/31 星期三,21:30:00,2145.0,2145.5,2144.0,2144.5,2426
2019/7/31 星期三,21:35:00,2145.0,2147.0,2144.0,2144.5,2578
2019/7/31 星期三,21:40:00,2145.0,2145.0,2142.0,2142.0,1268
2019/7/31 星期三,21:45:00,2142.0,2145.0,2141.0,2144.5,1458
2019/7/31 星期三,21:50:00,2144.5,2144.5,2143.0,2143.5,526
2019/7/31 星期三,21:55:00,2143.5,2144.0,2140.5,2142.5,1232
2019/7/31 星期三,22:00:00,2142.0,2142.5,2140.0,2141.0,806
2019/7/31 星期三,22:05:00,2140.5,2144.5,2140.0,2144.0,1384
2019/7/31 星期三,22:10:00,2143.5,2144.0,2142.0,2143.5,704
2019/7/31 星期三,22:15:00,2143.5,2145.0,2143.0,2143.5,1166
2019/7/31 星期三,22:20:00,2143.5,2144.5,2142.5,2144.5,622
2019/7/31 星期三,22:25:00,2144.5,2145.0,2142.5,2143.0,868
2019/7/31 星期三,22:30:00,2143.5,2144.0,2142.0,2144.0,418
2019/7/31 星期三,22:35:00,2144.0,2145.0,2143.0,2143.0,1156
2019/7/31 星期三,22:40:00,2143.0,2144.0,2142.0,2142.5,874
2019/7/31 星期三,22:45:00,2142.5,2142.5,2141.0,2142.0,1002
2019/7/31 星期三,22:50:00,2142.0,2142.0,2141.0,2142.0,702
2019/7/31 星期三,22:55:00,2141.5,2142.5,2140.0,2141.0,1226
2019/7/31 星期三,23:00:00,2140.5,2142.5,2138.5,2141.5,2402
2019/8/1 星期四,09:05:00,2139.5,2143.0,2134.0,2136.0,6986
2019/8/1 星期四,09:10:00,2136.0,2144.0,2134.0,2143.0,5784
2019/8/1 星期四,09:15:00,2143.0,2143.5,2140.0,2140.5,2466
2019/8/1 星期四,09:20:00,2140.5,2142.5,2139.0,2140.0,1882
2019/8/1 星期四,09:25:00,2140.0,2140.0,2133.0,2135.5,6538
2019/8/1 星期四,09:30:00,2135.0,2137.5,2133.5,2135.0,2378
2019/8/1 星期四,09:35:00,2135.5,2135.5,2130.0,2132.0,6738
2019/8/1 星期四,09:40:00,2132.0,2135.5,2131.5,2135.0,2680
2019/8/1 星期四,09:45:00,2135.0,2135.5,2131.0,2131.5,2064
2019/8/1 星期四,09:50:00,2131.5,2132.5,2128.0,2131.5,5912
2019/8/1 星期四,09:55:00,2131.5,2132.0,2129.0,2130.5,1894
2019/8/1 星期四,10:00:00,2130.0,2131.0,2128.0,2128.0,2506
2019/8/1 星期四,10:05:00,2128.5,2131.0,2126.5,2128.5,2996
2019/8/1 星期四,10:10:00,2128.5,2129.5,2127.0,2129.0,1690
2019/8/1 星期四,10:15:00,2128.5,2130.5,2128.0,2128.5,1502
2019/8/1 星期四,10:35:00,2128.5,2129.5,2125.5,2125.5,3502
2019/8/1 星期四,10:40:00,2125.0,2127.5,2124.5,2125.0,3694
2019/8/1 星期四,10:45:00,2125.5,2127.0,2124.0,2126.0,3556
2019/8/1 星期四,10:50:00,2126.5,2126.5,2121.0,2121.0,6546
2019/8/1 星期四,10:55:00,2121.0,2125.0,2120.5,2124.5,5176
2019/8/1 星期四,11:00:00,2124.5,2124.5,2121.5,2121.5,2970
2019/8/1 星期四,11:05:00,2121.5,2121.5,2112.5,2115.0,17582
2019/8/1 星期四,11:10:00,2115.0,2119.0,2114.0,2117.5,5036
2019/8/1 星期四,11:15:00,2118.0,2119.0,2116.0,2118.0,1884
2019/8/1 星期四,11:20:00,2117.5,2120.5,2116.5,2120.0,2728
2019/8/1 星期四,11:25:00,2120.0,2121.5,2118.5,2120.0,2440
2019/8/1 星期四,11:30:00,2120.0,2121.5,2119.0,2119.0,1752
2019/8/1 星期四,13:35:00,2119.0,2123.0,2116.5,2122.0,3974
2019/8/1 星期四,13:40:00,2122.0,2123.5,2120.0,2123.0,2192
2019/8/1 星期四,13:45:00,2123.0,2123.0,2120.0,2120.5,1196
2019/8/1 星期四,13:50:00,2120.0,2122.5,2119.5,2122.5,1348
2019/8/1 星期四,13:55:00,2122.5,2123.0,2121.5,2122.5,1178
2019/8/1 星期四,14:00:00,2122.0,2124.0,2121.5,2124.0,1772
2019/8/1 星期四,14:05:00,2124.0,2124.5,2123.0,2123.5,1840
2019/8/1 星期四,14:10:00,2123.0,2124.5,2123.0,2123.0,1070
2019/8/1 星期四,14:15:00,2123.5,2127.5,2123.5,2125.5,3528
2019/8/1 星期四,14:20:00,2125.5,2126.5,2123.0,2124.0,1548
2019/8/1 星期四,14:25:00,2124.0,2124.5,2120.0,2122.0,2936
2019/8/1 星期四,14:30:00,2122.0,2123.0,2118.0,2119.0,1756
2019/8/1 星期四,14:35:00,2119.0,2121.0,2118.0,2118.5,2030
2019/8/1 星期四,14:40:00,2118.5,2123.5,2118.0,2120.5,1934
2019/8/1 星期四,14:45:00,2120.0,2121.0,2116.0,2119.0,3428
2019/8/1 星期四,14:50:00,2118.5,2119.5,2113.5,2115.5,4032
2019/8/1 星期四,14:55:00,2115.5,2117.0,2112.5,2113.5,5492
2019/8/1 星期四,15:00:00,2113.5,2113.5,2105.0,2105.0,14174
2019/8/1 星期四,21:05:00,2103.0,2105.0,2085.0,2088.5,34402
2019/8/1 星期四,21:10:00,2089.0,2089.0,2079.5,2082.0,15742
2019/8/1 星期四,21:15:00,2082.0,2084.5,2081.0,2082.5,6444
2019/8/1 星期四,21:20:00,2083.0,2083.5,2067.0,2067.0,17084
2019/8/1 星期四,21:25:00,2067.0,2068.5,2062.5,2067.5,16894
2019/8/1 星期四,21:30:00,2068.0,2071.5,2064.0,2067.0,10050
2019/8/1 星期四,21:35:00,2067.0,2068.5,2060.0,2062.5,10794
2019/8/1 星期四,21:40:00,2063.0,2064.5,2056.5,2061.0,10692
2019/8/1 星期四,21:45:00,2061.0,2061.5,2053.5,2055.5,9398
2019/8/1 星期四,21:50:00,2056.0,2059.5,2054.5,2058.5,5438
2019/8/1 星期四,21:55:00,2058.0,2059.5,2056.0,2056.5,2580
2019/8/1 星期四,22:00:00,2056.5,2057.0,2050.5,2054.0,8324
2019/8/1 星期四,22:05:00,2054.5,2058.5,2051.5,2058.0,4014
2019/8/1 星期四,22:10:00,2058.0,2058.5,2056.0,2056.0,2230
2019/8/1 星期四,22:15:00,2056.5,2056.5,2042.5,2046.0,13286
2019/8/1 星期四,22:20:00,2046.0,2048.5,2045.5,2048.0,4536
2019/8/1 星期四,22:25:00,2047.5,2053.0,2046.5,2052.0,5674
2019/8/1 星期四,22:30:00,2051.5,2053.0,2049.5,2050.0,3100
2019/8/1 星期四,22:35:00,2050.5,2052.0,2047.0,2049.0,3128
2019/8/1 星期四,22:40:00,2048.5,2049.0,2043.5,2047.0,3750
2019/8/1 星期四,22:45:00,2047.0,2051.5,2044.0,2050.0,3226
2019/8/1 星期四,22:50:00,2050.0,2050.0,2045.0,2045.0,4326
2019/8/1 星期四,22:55:00,2045.0,2047.0,2041.0,2045.0,5614
2019/8/1 星期四,23:00:00,2045.0,2045.5,2036.0,2043.0,12138
2019/8/2 星期五,09:05:00,2036.0,2036.0,2000.0,2017.0,41376
2019/8/2 星期五,09:10:00,2016.5,2022.0,2010.5,2020.5,15348
2019/8/2 星期五,09:15:00,2020.5,2030.0,2019.0,2030.0,10122
2019/8/2 星期五,09:20:00,2031.5,2032.5,2019.5,2031.0,13012
2019/8/2 星期五,09:25:00,2030.5,2039.0,2030.0,2035.5,8320
2019/8/2 星期五,09:30:00,2035.5,2042.5,2033.5,2037.0,10054
2019/8/2 星期五,09:35:00,2037.5,2041.5,2036.0,2037.5,5310
2019/8/2 星期五,09:40:00,2038.0,2047.0,2037.0,2046.5,6388
2019/8/2 星期五,09:45:00,2046.5,2046.5,2042.5,2045.5,3860
2019/8/2 星期五,09:50:00,2045.5,2059.0,2044.5,2053.0,14118
2019/8/2 星期五,09:55:00,2052.5,2062.0,2052.5,2054.5,7746
2019/8/2 星期五,10:00:00,2054.5,2054.5,2048.0,2051.5,5220
2019/8/2 星期五,10:05:00,2052.0,2052.0,2047.0,2048.0,4090
2019/8/2 星期五,10:10:00,2048.0,2051.0,2044.0,2046.5,3270
2019/8/2 星期五,10:15:00,2046.0,2053.0,2043.5,2053.0,3886
2019/8/2 星期五,10:35:00,2053.0,2055.0,2051.0,2055.0,3792
2019/8/2 星期五,10:40:00,2055.0,2055.5,2047.0,2053.5,2738
2019/8/2 星期五,10:45:00,2053.5,2054.5,2050.0,2051.5,1308
2019/8/2 星期五,10:50:00,2052.0,2054.0,2049.5,2053.5,1808
2019/8/2 星期五,10:55:00,2053.5,2054.0,2052.5,2053.0,1936
2019/8/2 星期五,11:00:00,2053.5,2063.0,2053.0,2061.0,6464
2019/8/2 星期五,11:05:00,2061.0,2063.0,2055.0,2057.0,3734
2019/8/2 星期五,11:10:00,2057.5,2059.0,2056.5,2058.0,1008
2019/8/2 星期五,11:15:00,2058.0,2059.0,2056.0,2058.5,1184
2019/8/2 星期五,11:20:00,2058.5,2065.0,2058.5,2061.0,5334
2019/8/2 星期五,11:25:00,2061.5,2066.0,2058.5,2058.5,3720
2019/8/2 星期五,11:30:00,2059.0,2059.0,2050.0,2050.5,8768
2019/8/2 星期五,13:35:00,2051.0,2051.5,2047.0,2049.5,4268
2019/8/2 星期五,13:40:00,2049.0,2053.0,2048.5,2051.5,2256
2019/8/2 星期五,13:45:00,2051.5,2052.0,2048.0,2050.0,1856
2019/8/2 星期五,13:50:00,2050.0,2051.5,2048.0,2048.5,1268
2019/8/2 星期五,13:55:00,2048.5,2052.0,2047.0,2050.0,1972
2019/8/2 星期五,14:00:00,2050.0,2051.5,2049.5,2050.0,1038
2019/8/2 星期五,14:05:00,2050.0,2050.5,2044.0,2045.5,3658
2019/8/2 星期五,14:10:00,2045.5,2049.0,2045.5,2049.0,1698
2019/8/2 星期五,14:15:00,2048.5,2049.0,2046.0,2048.0,1036
2019/8/2 星期五,14:20:00,2047.5,2050.0,2046.0,2047.5,1188
2019/8/2 星期五,14:25:00,2048.0,2048.0,2045.0,2046.5,1670
2019/8/2 星期五,14:30:00,2046.5,2054.0,2046.0,2051.5,2958
2019/8/2 星期五,14:35:00,2052.0,2052.0,2050.5,2051.5,698
2019/8/2 星期五,14:40:00,2051.5,2055.0,2051.0,2054.5,2506
2019/8/2 星期五,14:45:00,2055.0,2058.5,2054.0,2056.0,3294
2019/8/2 星期五,14:50:00,2056.0,2057.0,2052.0,2053.0,2140
2019/8/2 星期五,14:55:00,2052.0,2054.5,2051.5,2051.5,1954
2019/8/2 星期五,15:00:00,2051.5,2052.0,2049.0,2051.0,6160
2019/8/2 星期五,21:05:00,2048.0,2055.5,2046.0,2051.5,10608
2019/8/2 星期五,21:10:00,2052.0,2053.5,2050.0,2053.5,2388
2019/8/2 星期五,21:15:00,2053.5,2055.0,2050.0,2050.5,3368
2019/8/2 星期五,21:20:00,2050.5,2053.5,2039.5,2040.5,7506
2019/8/2 星期五,21:25:00,2040.0,2046.5,2040.0,2044.5,5960
2019/8/2 星期五,21:30:00,2044.0,2049.0,2043.5,2048.5,2862
2019/8/2 星期五,21:35:00,2048.0,2049.0,2046.0,2047.5,1768
2019/8/2 星期五,21:40:00,2047.0,2048.0,2043.5,2044.0,1578
2019/8/2 星期五,21:45:00,2043.5,2045.5,2042.5,2044.5,1918
2019/8/2 星期五,21:50:00,2045.0,2045.0,2042.0,2042.0,1054
2019/8/2 星期五,21:55:00,2042.0,2045.0,2042.0,2044.0,766
2019/8/2 星期五,22:00:00,2043.5,2044.0,2038.0,2039.5,2760
2019/8/2 星期五,22:05:00,2039.5,2045.0,2039.0,2043.5,2042
2019/8/2 星期五,22:10:00,2043.0,2045.5,2043.0,2044.5,924
2019/8/2 星期五,22:15:00,2044.5,2045.5,2041.0,2041.5,982
2019/8/2 星期五,22:20:00,2041.5,2046.5,2041.0,2045.0,1318
2019/8/2 星期五,22:25:00,2045.0,2045.0,2042.5,2043.0,654
2019/8/2 星期五,22:30:00,2043.0,2044.0,2040.5,2043.0,1482
2019/8/2 星期五,22:35:00,2042.5,2043.0,2040.0,2040.0,1092
2019/8/2 星期五,22:40:00,2040.5,2042.5,2038.0,2039.5,3150
2019/8/2 星期五,22:45:00,2039.5,2044.5,2039.0,2043.5,1438
2019/8/2 星期五,22:50:00,2043.0,2043.5,2039.5,2041.0,1706
2019/8/2 星期五,22:55:00,2041.0,2042.0,2038.0,2041.5,2832
2019/8/2 星期五,23:00:00,2041.0,2055.5,2040.0,2054.5,6004
2019/8/5 星期一,09:05:00,2050.0,2060.0,2048.0,2054.0,12984
2019/8/5 星期一,09:10:00,2055.0,2056.0,2052.0,2055.5,3856
2019/8/5 星期一,09:15:00,2055.5,2059.0,2054.5,2059.0,5872
2019/8/5 星期一,09:20:00,2059.0,2059.0,2053.5,2055.0,3204
2019/8/5 星期一,09:25:00,2056.0,2056.5,2053.0,2053.5,2388
2019/8/5 星期一,09:30:00,2054.0,2057.0,2053.0,2055.5,2214
2019/8/5 星期一,09:35:00,2055.5,2057.0,2053.0,2055.5,2586
2019/8/5 星期一,09:40:00,2056.0,2057.5,2054.0,2057.0,3336
2019/8/5 星期一,09:45:00,2057.0,2060.0,2055.0,2058.5,4368
2019/8/5 星期一,09:50:00,2058.5,2059.5,2056.0,2058.5,1810
2019/8/5 星期一,09:55:00,2058.0,2062.0,2058.0,2061.5,4844
2019/8/5 星期一,10:00:00,2061.5,2062.0,2056.5,2058.5,2640
2019/8/5 星期一,10:05:00,2058.5,2059.5,2057.5,2059.5,1482
2019/8/5 星期一,10:10:00,2059.0,2060.5,2057.0,2059.0,1474
2019/8/5 星期一,10:15:00,2059.5,2061.0,2058.5,2059.5,1658
2019/8/5 星期一,10:35:00,2060.0,2061.0,2058.5,2059.5,1324
2019/8/5 星期一,10:40:00,2059.5,2059.5,2054.5,2055.5,2496
2019/8/5 星期一,10:45:00,2055.5,2056.5,2053.0,2056.0,2926
2019/8/5 星期一,10:50:00,2056.0,2056.5,2054.5,2054.5,1112
2019/8/5 星期一,10:55:00,2055.0,2056.0,2052.5,2055.5,1550
2019/8/5 星期一,11:00:00,2055.5,2058.5,2054.5,2057.0,1364
2019/8/5 星期一,11:05:00,2056.5,2058.5,2056.5,2057.5,702
2019/8/5 星期一,11:10:00,2058.0,2058.0,2055.0,2057.0,928
2019/8/5 星期一,11:15:00,2057.0,2058.5,2053.0,2058.0,2162
2019/8/5 星期一,11:20:00,2057.5,2058.0,2054.0,2055.5,1362
2019/8/5 星期一,11:25:00,2055.5,2057.5,2054.5,2056.0,818
2019/8/5 星期一,11:30:00,2055.5,2056.0,2053.0,2054.5,1502
2019/8/5 星期一,13:35:00,2056.0,2056.0,2036.5,2045.0,16514
2019/8/5 星期一,13:40:00,2044.0,2045.5,2032.5,2033.5,10618
2019/8/5 星期一,13:45:00,2033.5,2040.0,2033.5,2036.5,6594
2019/8/5 星期一,13:50:00,2036.0,2036.5,2030.5,2032.5,8042
2019/8/5 星期一,13:55:00,2032.5,2033.5,2026.5,2028.5,9320
2019/8/5 星期一,14:00:00,2028.5,2032.0,2025.0,2026.0,4746
2019/8/5 星期一,14:05:00,2025.5,2031.0,2024.5,2029.5,6998
2019/8/5 星期一,14:10:00,2030.5,2037.5,2029.5,2034.5,6430
2019/8/5 星期一,14:15:00,2034.5,2035.0,2031.5,2034.0,2198
2019/8/5 星期一,14:20:00,2034.0,2036.0,2026.5,2027.5,4404
2019/8/5 星期一,14:25:00,2028.0,2033.0,2027.5,2032.0,3704
2019/8/5 星期一,14:30:00,2031.0,2038.0,2031.0,2036.0,4620
2019/8/5 星期一,14:35:00,2036.5,2037.0,2031.5,2031.5,2312
2019/8/5 星期一,14:40:00,2031.5,2034.0,2030.0,2031.5,1976
2019/8/5 星期一,14:45:00,2031.5,2032.0,2027.0,2030.5,2836
2019/8/5 星期一,14:50:00,2030.5,2035.0,2029.0,2032.5,3130
2019/8/5 星期一,14:55:00,2032.5,2035.0,2031.0,2031.5,2104
2019/8/5 星期一,15:00:00,2031.5,2035.0,2030.0,2031.5,5690
2019/8/5 星期一,21:05:00,2033.5,2055.0,2031.5,2047.5,17596
2019/8/5 星期一,21:10:00,2047.0,2047.5,2038.5,2041.0,5506
2019/8/5 星期一,21:15:00,2042.0,2044.5,2040.5,2043.5,2788
2019/8/5 星期一,21:20:00,2043.0,2047.0,2043.0,2047.0,3084
2019/8/5 星期一,21:25:00,2046.5,2053.5,2046.0,2052.5,6836
2019/8/5 星期一,21:30:00,2052.5,2052.5,2048.0,2051.0,2814
2019/8/5 星期一,21:35:00,2051.5,2052.5,2049.0,2049.5,1892
2019/8/5 星期一,21:40:00,2050.0,2050.5,2043.5,2044.5,2864
2019/8/5 星期一,21:45:00,2044.5,2048.5,2044.0,2047.5,1884
2019/8/5 星期一,21:50:00,2047.5,2048.0,2043.5,2044.5,2450
2019/8/5 星期一,21:55:00,2045.0,2046.5,2043.0,2045.0,1196
2019/8/5 星期一,22:00:00,2046.0,2046.5,2044.0,2044.5,1000
2019/8/5 星期一,22:05:00,2044.5,2047.0,2044.5,2045.0,976
2019/8/5 星期一,22:10:00,2045.0,2046.5,2044.0,2045.5,1348
2019/8/5 星期一,22:15:00,2045.0,2046.0,2044.0,2045.5,844
2019/8/5 星期一,22:20:00,2045.0,2045.5,2040.5,2042.0,2356
2019/8/5 星期一,22:25:00,2042.5,2046.5,2042.5,2045.5,1484
2019/8/5 星期一,22:30:00,2046.0,2049.0,2046.0,2047.0,2140
2019/8/5 星期一,22:35:00,2047.5,2051.5,2047.5,2051.0,3068
2019/8/5 星期一,22:40:00,2051.5,2053.0,2049.0,2050.0,2666
2019/8/5 星期一,22:45:00,2050.5,2051.5,2050.0,2050.5,1096
2019/8/5 星期一,22:50:00,2051.0,2051.5,2047.0,2050.5,1376
2019/8/5 星期一,22:55:00,2050.5,2052.0,2049.0,2051.0,1058
2019/8/5 星期一,23:00:00,2051.0,2058.0,2050.0,2057.0,4718
2019/8/6 星期二,09:05:00,2054.0,2054.0,2046.5,2052.0,5412
2019/8/6 星期二,09:10:00,2051.0,2069.5,2050.5,2064.5,13574
2019/8/6 星期二,09:15:00,2064.5,2064.5,2060.0,2062.5,5544
2019/8/6 星期二,09:20:00,2062.0,2063.0,2058.5,2061.5,3068
2019/8/6 星期二,09:25:00,2062.0,2062.0,2056.0,2058.0,2414
2019/8/6 星期二,09:30:00,2058.0,2060.5,2055.5,2059.0,2722
2019/8/6 星期二,09:35:00,2059.5,2062.0,2059.0,2062.0,1632
2019/8/6 星期二,09:40:00,2061.5,2063.5,2061.5,2061.5,2004
2019/8/6 星期二,09:45:00,2062.0,2062.5,2059.0,2060.5,1732
2019/8/6 星期二,09:50:00,2060.5,2063.0,2060.0,2062.0,1370
2019/8/6 星期二,09:55:00,2062.5,2064.5,2061.0,2061.5,1718
2019/8/6 星期二,10:00:00,2061.5,2064.5,2060.5,2062.5,1944
2019/8/6 星期二,10:05:00,2062.5,2064.0,2062.0,2063.0,1180
2019/8/6 星期二,10:10:00,2062.5,2063.0,2056.5,2056.5,2036
2019/8/6 星期二,10:15:00,2056.5,2059.5,2056.5,2059.0,1204
2019/8/6 星期二,10:35:00,2059.0,2060.0,2058.0,2058.5,1068
2019/8/6 星期二,10:40:00,2059.0,2059.0,2054.5,2058.0,2312
2019/8/6 星期二,10:45:00,2058.0,2060.0,2056.5,2057.5,1458
2019/8/6 星期二,10:50:00,2057.5,2061.0,2056.0,2057.0,1234
2019/8/6 星期二,10:55:00,2057.5,2059.0,2055.5,2056.5,1134
