<Date>, <Time>, <Open>, <High>, <Low>, <Close>, <Volume>
2019/7/31 星期三,21:05:00,3380,3384,3370,3372,31486
2019/7/31 星期三,21:10:00,3372,3382,3370,3378,14634
2019/7/31 星期三,21:15:00,3376,3380,3368,3374,17780
2019/7/31 星期三,21:20:00,3372,3380,3370,3378,11212
2019/7/31 星期三,21:25:00,3378,3380,3374,3378,5202
2019/7/31 星期三,21:30:00,3378,3382,3376,3378,10732
2019/7/31 星期三,21:35:00,3378,3380,3372,3376,8684
2019/7/31 星期三,21:40:00,3374,3376,3370,3374,9992
2019/7/31 星期三,21:45:00,3372,3376,3370,3374,5450
2019/7/31 星期三,21:50:00,3376,3376,3374,3374,2130
2019/7/31 星期三,21:55:00,3376,3376,3372,3374,3738
2019/7/31 星期三,22:00:00,3372,3376,3368,3370,10550
2019/7/31 星期三,22:05:00,3370,3376,3366,3372,13772
2019/7/31 星期三,22:10:00,3372,3372,3368,3368,4658
2019/7/31 星期三,22:15:00,3370,3372,3368,3368,4334
2019/7/31 星期三,22:20:00,3370,3370,3368,3370,3224
2019/7/31 星期三,22:25:00,3370,3370,3358,3364,21578
2019/7/31 星期三,22:30:00,3364,3366,3362,3364,5054
2019/7/31 星期三,22:35:00,3364,3380,3364,3376,28950
2019/7/31 星期三,22:40:00,3376,3378,3374,3376,9396
2019/7/31 星期三,22:45:00,3374,3376,3368,3370,7176
2019/7/31 星期三,22:50:00,3372,3372,3362,3364,16928
2019/7/31 星期三,22:55:00,3366,3370,3362,3366,9950
2019/7/31 星期三,23:00:00,3368,3368,3360,3362,16570
2019/8/1 星期四,09:05:00,3342,3346,3328,3336,81656
2019/8/1 星期四,09:10:00,3334,3346,3326,3336,44948
2019/8/1 星期四,09:15:00,3336,3340,3330,3332,21880
2019/8/1 星期四,09:20:00,3332,3336,3318,3326,55620
2019/8/1 星期四,09:25:00,3324,3324,3316,3318,33600
2019/8/1 星期四,09:30:00,3318,3334,3318,3328,24338
2019/8/1 星期四,09:35:00,3330,3330,3322,3322,15196
2019/8/1 星期四,09:40:00,3324,3328,3322,3326,8108
2019/8/1 星期四,09:45:00,3324,3330,3324,3328,7902
2019/8/1 星期四,09:50:00,3328,3330,3324,3326,7152
2019/8/1 星期四,09:55:00,3324,3328,3322,3326,8460
2019/8/1 星期四,10:00:00,3324,3326,3320,3322,11894
2019/8/1 星期四,10:05:00,3320,3326,3318,3320,17908
2019/8/1 星期四,10:10:00,3320,3326,3312,3322,23100
2019/8/1 星期四,10:15:00,3324,3324,3320,3320,4262
2019/8/1 星期四,10:35:00,3322,3326,3320,3320,6662
2019/8/1 星期四,10:40:00,3322,3324,3320,3322,6776
2019/8/1 星期四,10:45:00,3324,3324,3318,3320,7856
2019/8/1 星期四,10:50:00,3320,3322,3292,3300,59884
2019/8/1 星期四,10:55:00,3300,3314,3298,3310,27202
2019/8/1 星期四,11:00:00,3312,3314,3306,3308,14320
2019/8/1 星期四,11:05:00,3308,3314,3304,3310,13866
2019/8/1 星期四,11:10:00,3310,3318,3310,3314,9678
2019/8/1 星期四,11:15:00,3314,3314,3308,3308,6420
2019/8/1 星期四,11:20:00,3308,3312,3306,3310,7428
2019/8/1 星期四,11:25:00,3310,3314,3308,3314,3940
2019/8/1 星期四,11:30:00,3314,3314,3308,3310,7200
2019/8/1 星期四,13:35:00,3310,3310,3302,3304,15390
2019/8/1 星期四,13:40:00,3302,3304,3296,3300,22526
2019/8/1 星期四,13:45:00,3300,3302,3294,3294,14732
2019/8/1 星期四,13:50:00,3294,3306,3292,3306,16896
2019/8/1 星期四,13:55:00,3306,3318,3304,3314,27756
2019/8/1 星期四,14:00:00,3314,3316,3310,3312,12034
2019/8/1 星期四,14:05:00,3312,3318,3308,3314,12442
2019/8/1 星期四,14:10:00,3316,3318,3312,3314,7922
2019/8/1 星期四,14:15:00,3314,3316,3312,3314,5064
2019/8/1 星期四,14:20:00,3312,3314,3310,3312,4084
2019/8/1 星期四,14:25:00,3312,3314,3310,3310,4752
2019/8/1 星期四,14:30:00,3310,3312,3306,3306,6568
2019/8/1 星期四,14:35:00,3306,3310,3306,3306,4520
2019/8/1 星期四,14:40:00,3306,3316,3306,3312,7952
2019/8/1 星期四,14:45:00,3312,3316,3310,3310,5236
2019/8/1 星期四,14:50:00,3310,3314,3308,3312,6140
2019/8/1 星期四,14:55:00,3312,3312,3308,3310,9188
2019/8/1 星期四,15:00:00,3310,3312,3306,3312,20982
2019/8/1 星期四,21:05:00,3308,3322,3306,3316,41266
2019/8/1 星期四,21:10:00,3314,3316,3302,3304,24410
2019/8/1 星期四,21:15:00,3304,3308,3286,3294,38504
2019/8/1 星期四,21:20:00,3294,3298,3292,3296,20722
2019/8/1 星期四,21:25:00,3298,3306,3294,3302,28666
2019/8/1 星期四,21:30:00,3302,3314,3302,3308,23720
2019/8/1 星期四,21:35:00,3306,3308,3302,3306,9098
2019/8/1 星期四,21:40:00,3304,3308,3304,3306,6456
2019/8/1 星期四,21:45:00,3306,3310,3294,3298,16586
2019/8/1 星期四,21:50:00,3298,3306,3292,3304,17044
2019/8/1 星期四,21:55:00,3304,3306,3296,3298,10238
2019/8/1 星期四,22:00:00,3300,3304,3296,3300,10014
2019/8/1 星期四,22:05:00,3300,3302,3294,3302,11312
2019/8/1 星期四,22:10:00,3300,3306,3300,3302,6936
2019/8/1 星期四,22:15:00,3302,3304,3296,3300,6406
2019/8/1 星期四,22:20:00,3300,3306,3298,3306,7032
2019/8/1 星期四,22:25:00,3304,3310,3304,3308,10256
2019/8/1 星期四,22:30:00,3308,3314,3308,3312,13130
2019/8/1 星期四,22:35:00,3312,3314,3310,3310,9858
2019/8/1 星期四,22:40:00,3310,3312,3306,3306,6784
2019/8/1 星期四,22:45:00,3306,3312,3306,3310,3842
2019/8/1 星期四,22:50:00,3310,3312,3306,3308,5646
2019/8/1 星期四,22:55:00,3308,3310,3306,3310,4916
2019/8/1 星期四,23:00:00,3310,3312,3308,3308,13794
2019/8/2 星期五,09:05:00,3200,3220,3150,3170,232208
2019/8/2 星期五,09:10:00,3170,3208,3156,3190,65770
2019/8/2 星期五,09:15:00,3188,3210,3188,3204,34262
2019/8/2 星期五,09:20:00,3204,3204,3194,3200,23948
2019/8/2 星期五,09:25:00,3200,3204,3192,3198,15982
2019/8/2 星期五,09:30:00,3200,3206,3194,3202,17468
2019/8/2 星期五,09:35:00,3202,3206,3200,3204,13488
2019/8/2 星期五,09:40:00,3204,3218,3202,3216,22272
2019/8/2 星期五,09:45:00,3214,3222,3210,3216,26326
2019/8/2 星期五,09:50:00,3216,3224,3214,3222,16638
2019/8/2 星期五,09:55:00,3222,3234,3220,3226,25650
2019/8/2 星期五,10:00:00,3226,3238,3224,3230,21886
2019/8/2 星期五,10:05:00,3230,3230,3220,3224,18364
2019/8/2 星期五,10:10:00,3224,3226,3218,3222,11382
2019/8/2 星期五,10:15:00,3220,3228,3220,3226,6360
2019/8/2 星期五,10:35:00,3230,3232,3226,3228,6592
2019/8/2 星期五,10:40:00,3230,3230,3222,3224,7382
2019/8/2 星期五,10:45:00,3226,3228,3224,3224,5520
2019/8/2 星期五,10:50:00,3224,3226,3220,3222,5648
2019/8/2 星期五,10:55:00,3222,3226,3220,3222,4450
2019/8/2 星期五,11:00:00,3222,3224,3216,3218,10502
2019/8/2 星期五,11:05:00,3218,3220,3216,3216,7400
2019/8/2 星期五,11:10:00,3216,3224,3216,3218,4432
2019/8/2 星期五,11:15:00,3218,3222,3216,3222,3912
2019/8/2 星期五,11:20:00,3222,3224,3220,3222,3496
2019/8/2 星期五,11:25:00,3222,3222,3218,3220,4072
2019/8/2 星期五,11:30:00,3220,3222,3216,3218,5216
2019/8/2 星期五,13:35:00,3216,3220,3210,3214,12930
2019/8/2 星期五,13:40:00,3216,3218,3212,3214,5072
2019/8/2 星期五,13:45:00,3214,3218,3212,3212,4640
2019/8/2 星期五,13:50:00,3212,3214,3212,3212,3772
2019/8/2 星期五,13:55:00,3212,3214,3210,3214,5018
2019/8/2 星期五,14:00:00,3214,3214,3204,3208,10722
2019/8/2 星期五,14:05:00,3208,3210,3204,3206,6608
2019/8/2 星期五,14:10:00,3204,3206,3192,3196,26906
2019/8/2 星期五,14:15:00,3196,3200,3196,3196,10258
2019/8/2 星期五,14:20:00,3196,3210,3196,3210,13748
2019/8/2 星期五,14:25:00,3210,3210,3200,3200,8318
2019/8/2 星期五,14:30:00,3200,3204,3198,3202,5754
2019/8/2 星期五,14:35:00,3202,3204,3200,3204,4482
2019/8/2 星期五,14:40:00,3204,3204,3198,3202,6338
2019/8/2 星期五,14:45:00,3202,3204,3196,3198,8104
2019/8/2 星期五,14:50:00,3198,3198,3192,3192,11714
2019/8/2 星期五,14:55:00,3194,3194,3186,3188,23094
2019/8/2 星期五,15:00:00,3188,3190,3176,3178,41980
2019/8/2 星期五,21:05:00,3190,3206,3190,3198,45000
2019/8/2 星期五,21:10:00,3196,3210,3192,3208,26236
2019/8/2 星期五,21:15:00,3210,3216,3208,3212,27192
2019/8/2 星期五,21:20:00,3210,3216,3202,3202,16758
2019/8/2 星期五,21:25:00,3202,3214,3202,3212,18180
2019/8/2 星期五,21:30:00,3212,3214,3210,3212,9428
2019/8/2 星期五,21:35:00,3212,3212,3206,3206,11514
2019/8/2 星期五,21:40:00,3208,3212,3206,3212,7612
2019/8/2 星期五,21:45:00,3212,3216,3208,3216,13672
2019/8/2 星期五,21:50:00,3216,3216,3210,3212,7698
2019/8/2 星期五,21:55:00,3210,3212,3208,3210,4938
2019/8/2 星期五,22:00:00,3208,3210,3198,3198,15308
2019/8/2 星期五,22:05:00,3198,3204,3198,3204,8314
2019/8/2 星期五,22:10:00,3202,3204,3200,3200,3952
2019/8/2 星期五,22:15:00,3202,3204,3196,3200,9254
2019/8/2 星期五,22:20:00,3200,3204,3198,3202,4872
2019/8/2 星期五,22:25:00,3202,3204,3198,3200,7912
2019/8/2 星期五,22:30:00,3200,3200,3194,3198,8440
2019/8/2 星期五,22:35:00,3198,3202,3196,3200,5006
2019/8/2 星期五,22:40:00,3200,3204,3196,3200,7618
2019/8/2 星期五,22:45:00,3198,3200,3186,3194,22920
2019/8/2 星期五,22:50:00,3192,3198,3190,3196,5682
2019/8/2 星期五,22:55:00,3198,3198,3188,3188,9668
2019/8/2 星期五,23:00:00,3188,3194,3188,3190,12112
2019/8/5 星期一,09:05:00,3186,3204,3184,3196,30924
2019/8/5 星期一,09:10:00,3196,3198,3192,3196,9788
2019/8/5 星期一,09:15:00,3196,3202,3194,3198,9264
2019/8/5 星期一,09:20:00,3196,3198,3188,3192,14580
2019/8/5 星期一,09:25:00,3192,3196,3182,3184,19428
2019/8/5 星期一,09:30:00,3186,3192,3182,3190,11844
2019/8/5 星期一,09:35:00,3188,3194,3186,3188,8218
2019/8/5 星期一,09:40:00,3188,3194,3184,3194,9916
2019/8/5 星期一,09:45:00,3192,3198,3190,3196,15182
2019/8/5 星期一,09:50:00,3196,3200,3192,3192,8104
2019/8/5 星期一,09:55:00,3192,3196,3190,3192,3672
2019/8/5 星期一,10:00:00,3192,3194,3186,3188,5738
2019/8/5 星期一,10:05:00,3186,3190,3184,3190,6740
2019/8/5 星期一,10:10:00,3190,3192,3186,3188,4698
2019/8/5 星期一,10:15:00,3188,3188,3182,3186,6618
2019/8/5 星期一,10:35:00,3186,3192,3178,3190,13108
2019/8/5 星期一,10:40:00,3190,3196,3186,3194,10630
2019/8/5 星期一,10:45:00,3194,3194,3190,3192,3434
2019/8/5 星期一,10:50:00,3192,3204,3192,3202,14508
2019/8/5 星期一,10:55:00,3202,3206,3200,3200,9518
2019/8/5 星期一,11:00:00,3202,3204,3200,3204,5708
2019/8/5 星期一,11:05:00,3204,3212,3202,3202,13764
2019/8/5 星期一,11:10:00,3202,3204,3198,3200,7012
2019/8/5 星期一,11:15:00,3200,3202,3198,3200,4702
2019/8/5 星期一,11:20:00,3202,3202,3192,3192,6470
2019/8/5 星期一,11:25:00,3192,3198,3188,3194,7524
2019/8/5 星期一,11:30:00,3192,3200,3192,3198,3194
2019/8/5 星期一,13:35:00,3200,3200,3184,3188,12892
2019/8/5 星期一,13:40:00,3190,3190,3180,3184,12266
2019/8/5 星期一,13:45:00,3184,3188,3180,3180,9802
2019/8/5 星期一,13:50:00,3182,3182,3172,3176,25890
2019/8/5 星期一,13:55:00,3176,3176,3162,3170,21964
2019/8/5 星期一,14:00:00,3170,3172,3146,3154,36616
2019/8/5 星期一,14:05:00,3154,3160,3142,3144,31530
2019/8/5 星期一,14:10:00,3146,3158,3144,3152,16402
2019/8/5 星期一,14:15:00,3150,3154,3148,3150,5612
2019/8/5 星期一,14:20:00,3150,3150,3126,3128,28046
2019/8/5 星期一,14:25:00,3128,3132,3114,3124,38840
2019/8/5 星期一,14:30:00,3124,3128,3104,3104,27030
2019/8/5 星期一,14:35:00,3108,3108,3070,3092,82030
2019/8/5 星期一,14:40:00,3092,3096,3086,3096,25514
2019/8/5 星期一,14:45:00,3096,3112,3090,3112,37034
2019/8/5 星期一,14:50:00,3112,3120,3106,3120,24866
2019/8/5 星期一,14:55:00,3120,3122,3114,3114,18502
2019/8/5 星期一,15:00:00,3114,3116,3110,3114,21842
2019/8/5 星期一,21:05:00,3114,3114,3078,3100,67270
2019/8/5 星期一,21:10:00,3100,3108,3092,3106,23690
2019/8/5 星期一,21:15:00,3104,3106,3094,3106,15070
2019/8/5 星期一,21:20:00,3106,3114,3104,3106,22742
2019/8/5 星期一,21:25:00,3104,3112,3104,3112,9394
2019/8/5 星期一,21:30:00,3110,3126,3110,3122,31266
2019/8/5 星期一,21:35:00,3122,3122,3116,3118,10724
2019/8/5 星期一,21:40:00,3116,3130,3116,3126,20082
2019/8/5 星期一,21:45:00,3126,3126,3116,3120,8898
2019/8/5 星期一,21:50:00,3120,3122,3106,3108,20924
2019/8/5 星期一,21:55:00,3108,3110,3098,3110,16410
2019/8/5 星期一,22:00:00,3110,3120,3110,3116,13832
2019/8/5 星期一,22:05:00,3114,3116,3106,3110,8700
2019/8/5 星期一,22:10:00,3110,3114,3106,3112,4852
2019/8/5 星期一,22:15:00,3112,3114,3110,3112,2876
2019/8/5 星期一,22:20:00,3112,3112,3106,3108,5106
2019/8/5 星期一,22:25:00,3110,3116,3108,3114,4980
2019/8/5 星期一,22:30:00,3112,3116,3112,3112,3654
2019/8/5 星期一,22:35:00,3112,3116,3110,3114,4284
2019/8/5 星期一,22:40:00,3114,3114,3108,3112,5076
2019/8/5 星期一,22:45:00,3112,3112,3108,3108,2072
2019/8/5 星期一,22:50:00,3110,3114,3108,3112,3756
2019/8/5 星期一,22:55:00,3114,3114,3104,3108,6784
2019/8/5 星期一,23:00:00,3108,3112,3106,3108,9660
2019/8/6 星期二,09:05:00,3088,3096,3074,3092,47252
2019/8/6 星期二,09:10:00,3090,3102,3086,3100,17312
2019/8/6 星期二,09:15:00,3098,3104,3092,3096,16968
2019/8/6 星期二,09:20:00,3096,3102,3092,3100,11618
2019/8/6 星期二,09:25:00,3100,3106,3096,3098,12782
2019/8/6 星期二,09:30:00,3098,3102,3096,3096,5874
2019/8/6 星期二,09:35:00,3096,3102,3096,3100,4738
2019/8/6 星期二,09:40:00,3100,3102,3096,3098,5070
2019/8/6 星期二,09:45:00,3100,3104,3094,3104,6620
