<Date>, <Time>, <Open>, <High>, <Low>, <Close>, <Volume>
2019/7/31 星期三,21:05:00,13150,13175,13140,13155,25048
2019/7/31 星期三,21:10:00,13150,13165,13135,13140,7742
2019/7/31 星期三,21:15:00,13140,13140,13115,13125,9312
2019/7/31 星期三,21:20:00,13125,13140,13125,13130,3098
2019/7/31 星期三,21:25:00,13135,13135,13110,13120,3966
2019/7/31 星期三,21:30:00,13120,13120,13110,13115,2116
2019/7/31 星期三,21:35:00,13115,13135,13115,13125,4092
2019/7/31 星期三,21:40:00,13120,13130,13115,13125,1702
2019/7/31 星期三,21:45:00,13120,13125,13090,13110,6942
2019/7/31 星期三,21:50:00,13110,13120,13105,13110,1216
2019/7/31 星期三,21:55:00,13110,13125,13110,13125,1470
2019/7/31 星期三,22:00:00,13120,13130,13115,13120,1542
2019/7/31 星期三,22:05:00,13120,13130,13115,13120,1466
2019/7/31 星期三,22:10:00,13115,13120,13115,13115,478
2019/7/31 星期三,22:15:00,13120,13120,13110,13110,1290
2019/7/31 星期三,22:20:00,13110,13115,13105,13110,940
2019/7/31 星期三,22:25:00,13110,13120,13105,13110,1546
2019/7/31 星期三,22:30:00,13110,13120,13110,13120,756
2019/7/31 星期三,22:35:00,13120,13125,13095,13100,4200
2019/7/31 星期三,22:40:00,13100,13100,13080,13095,3652
2019/7/31 星期三,22:45:00,13095,13100,13085,13095,3062
2019/7/31 星期三,22:50:00,13095,13105,13090,13100,1796
2019/7/31 星期三,22:55:00,13105,13110,13100,13105,1368
2019/7/31 星期三,23:00:00,13100,13115,13100,13110,2078
2019/7/31 星期三,23:05:00,13110,13125,13100,13120,2422
2019/7/31 星期三,23:10:00,13120,13120,13110,13120,1594
2019/7/31 星期三,23:15:00,13120,13120,13105,13110,1550
2019/7/31 星期三,23:20:00,13110,13115,13090,13090,1606
2019/7/31 星期三,23:25:00,13095,13100,13080,13080,2018
2019/7/31 星期三,23:30:00,13085,13095,13080,13090,2810
2019/8/1 星期四,09:05:00,13085,13110,13075,13075,6398
2019/8/1 星期四,09:10:00,13075,13095,13045,13070,11592
2019/8/1 星期四,09:15:00,13070,13110,13065,13105,7098
2019/8/1 星期四,09:20:00,13100,13105,13085,13095,4522
2019/8/1 星期四,09:25:00,13095,13095,13075,13085,3968
2019/8/1 星期四,09:30:00,13090,13090,13070,13080,1498
2019/8/1 星期四,09:35:00,13080,13080,13065,13080,2756
2019/8/1 星期四,09:40:00,13075,13095,13075,13085,1748
2019/8/1 星期四,09:45:00,13085,13095,13075,13075,2284
2019/8/1 星期四,09:50:00,13075,13080,13070,13075,762
2019/8/1 星期四,09:55:00,13075,13090,13075,13085,2290
2019/8/1 星期四,10:00:00,13085,13090,13080,13080,978
2019/8/1 星期四,10:05:00,13085,13095,13085,13090,1054
2019/8/1 星期四,10:10:00,13090,13090,13075,13080,1244
2019/8/1 星期四,10:15:00,13080,13090,13080,13085,810
2019/8/1 星期四,10:35:00,13085,13085,13075,13085,898
2019/8/1 星期四,10:40:00,13085,13090,13080,13090,804
2019/8/1 星期四,10:45:00,13090,13095,13080,13090,1596
2019/8/1 星期四,10:50:00,13090,13095,13085,13095,1170
2019/8/1 星期四,10:55:00,13095,13125,13090,13115,7588
2019/8/1 星期四,11:00:00,13115,13125,13100,13115,5182
2019/8/1 星期四,11:05:00,13115,13130,13110,13115,4236
2019/8/1 星期四,11:10:00,13120,13130,13110,13125,3058
2019/8/1 星期四,11:15:00,13120,13125,13095,13100,2686
2019/8/1 星期四,11:20:00,13100,13110,13095,13110,1256
2019/8/1 星期四,11:25:00,13110,13110,13105,13110,888
2019/8/1 星期四,11:30:00,13110,13115,13105,13110,808
2019/8/1 星期四,13:35:00,13110,13115,13100,13100,1654
2019/8/1 星期四,13:40:00,13100,13100,13055,13075,7458
2019/8/1 星期四,13:45:00,13070,13085,13065,13075,3406
2019/8/1 星期四,13:50:00,13080,13090,13075,13080,2628
2019/8/1 星期四,13:55:00,13080,13085,13070,13085,2416
2019/8/1 星期四,14:00:00,13080,13080,13065,13075,2286
2019/8/1 星期四,14:05:00,13070,13080,13070,13075,1484
2019/8/1 星期四,14:10:00,13080,13080,13060,13065,2054
2019/8/1 星期四,14:15:00,13065,13070,13055,13065,4478
2019/8/1 星期四,14:20:00,13060,13070,13060,13065,2382
2019/8/1 星期四,14:25:00,13060,13070,13055,13065,2952
2019/8/1 星期四,14:30:00,13065,13080,13050,13065,6284
2019/8/1 星期四,14:35:00,13065,13070,13025,13050,10854
2019/8/1 星期四,14:40:00,13050,13065,13045,13055,4556
2019/8/1 星期四,14:45:00,13055,13070,13050,13060,4396
2019/8/1 星期四,14:50:00,13060,13080,13060,13065,4682
2019/8/1 星期四,14:55:00,13060,13070,13055,13055,2414
2019/8/1 星期四,15:00:00,13060,13065,13030,13045,9754
2019/8/1 星期四,21:05:00,13045,13080,13035,13070,12928
2019/8/1 星期四,21:10:00,13075,13075,13055,13055,3816
2019/8/1 星期四,21:15:00,13060,13070,13045,13065,4276
2019/8/1 星期四,21:20:00,13065,13070,13045,13065,5078
2019/8/1 星期四,21:25:00,13060,13075,13060,13070,4226
2019/8/1 星期四,21:30:00,13065,13075,13065,13070,2556
2019/8/1 星期四,21:35:00,13070,13070,13055,13055,2382
2019/8/1 星期四,21:40:00,13055,13060,13050,13055,2494
2019/8/1 星期四,21:45:00,13055,13060,13015,13045,13454
