<Date>, <Time>, <Open>, <High>, <Low>, <Close>, <Volume>
2019/7/31 星期三,21:05:00,2112,2117,2107,2109,61348
2019/7/31 星期三,21:10:00,2108,2112,2108,2112,31912
2019/7/31 星期三,21:15:00,2111,2116,2111,2114,22936
2019/7/31 星期三,21:20:00,2113,2121,2113,2119,45500
2019/7/31 星期三,21:25:00,2119,2124,2117,2120,41182
2019/7/31 星期三,21:30:00,2120,2123,2119,2122,21660
2019/7/31 星期三,21:35:00,2122,2123,2118,2119,23540
2019/7/31 星期三,21:40:00,2119,2123,2119,2121,20288
2019/7/31 星期三,21:45:00,2121,2123,2120,2123,12696
2019/7/31 星期三,21:50:00,2123,2127,2122,2123,39576
2019/7/31 星期三,21:55:00,2123,2125,2120,2120,24766
2019/7/31 星期三,22:00:00,2122,2122,2118,2119,24532
2019/7/31 星期三,22:05:00,2120,2122,2119,2122,13704
2019/7/31 星期三,22:10:00,2121,2122,2118,2119,9176
2019/7/31 星期三,22:15:00,2119,2120,2114,2117,35082
2019/7/31 星期三,22:20:00,2117,2119,2116,2119,8314
2019/7/31 星期三,22:25:00,2119,2119,2115,2117,14520
2019/7/31 星期三,22:30:00,2117,2119,2116,2119,8434
2019/7/31 星期三,22:35:00,2121,2124,2120,2122,32310
2019/7/31 星期三,22:40:00,2122,2125,2121,2122,13038
2019/7/31 星期三,22:45:00,2123,2123,2120,2120,7202
2019/7/31 星期三,22:50:00,2120,2123,2119,2123,9590
2019/7/31 星期三,22:55:00,2123,2123,2120,2120,5910
2019/7/31 星期三,23:00:00,2121,2121,2116,2120,20560
2019/7/31 星期三,23:05:00,2120,2120,2115,2118,22410
2019/7/31 星期三,23:10:00,2119,2119,2117,2118,5872
2019/7/31 星期三,23:15:00,2118,2119,2116,2119,7410
2019/7/31 星期三,23:20:00,2119,2121,2117,2117,9510
2019/7/31 星期三,23:25:00,2117,2120,2117,2118,7430
2019/7/31 星期三,23:30:00,2118,2120,2117,2119,18972
2019/8/1 星期四,09:05:00,2115,2115,2096,2102,159140
2019/8/1 星期四,09:10:00,2102,2111,2100,2107,56878
2019/8/1 星期四,09:15:00,2107,2109,2105,2109,22946
2019/8/1 星期四,09:20:00,2108,2114,2107,2112,36494
2019/8/1 星期四,09:25:00,2112,2118,2109,2118,40894
2019/8/1 星期四,09:30:00,2118,2130,2117,2122,114478
2019/8/1 星期四,09:35:00,2123,2126,2120,2124,44796
2019/8/1 星期四,09:40:00,2125,2132,2124,2130,65596
2019/8/1 星期四,09:45:00,2129,2132,2124,2126,59568
2019/8/1 星期四,09:50:00,2126,2127,2121,2124,37364
2019/8/1 星期四,09:55:00,2124,2129,2123,2128,17172
2019/8/1 星期四,10:00:00,2128,2130,2125,2129,26306
2019/8/1 星期四,10:05:00,2129,2133,2126,2128,36732
2019/8/1 星期四,10:10:00,2128,2129,2126,2127,13312
2019/8/1 星期四,10:15:00,2127,2129,2127,2129,11110
2019/8/1 星期四,10:35:00,2128,2132,2128,2130,30468
2019/8/1 星期四,10:40:00,2129,2130,2123,2124,29822
