<Date>, <Time>, <Open>, <High>, <Low>, <Close>, <Volume>
2019/7/31 星期三,21:05:00,5418,5430,5410,5418,75244
2019/7/31 星期三,21:10:00,5416,5422,5404,5408,35524
2019/7/31 星期三,21:15:00,5410,5412,5398,5404,42870
2019/7/31 星期三,21:20:00,5404,5410,5402,5408,21034
2019/7/31 星期三,21:25:00,5408,5408,5394,5398,41734
2019/7/31 星期三,21:30:00,5398,5402,5392,5396,29222
2019/7/31 星期三,21:35:00,5396,5406,5394,5404,27204
2019/7/31 星期三,21:40:00,5404,5406,5396,5402,14698
2019/7/31 星期三,21:45:00,5402,5408,5398,5408,20868
2019/7/31 星期三,21:50:00,5408,5410,5402,5404,19292
2019/7/31 星期三,21:55:00,5406,5408,5400,5402,10480
2019/7/31 星期三,22:00:00,5402,5406,5398,5402,12838
2019/7/31 星期三,22:05:00,5402,5408,5400,5406,13298
2019/7/31 星期三,22:10:00,5406,5406,5396,5400,15306
2019/7/31 星期三,22:15:00,5400,5402,5394,5398,22806
2019/7/31 星期三,22:20:00,5396,5402,5396,5400,9564
2019/7/31 星期三,22:25:00,5398,5400,5386,5396,42096
2019/7/31 星期三,22:30:00,5394,5400,5392,5400,15598
2019/7/31 星期三,22:35:00,5398,5406,5398,5400,34702
2019/7/31 星期三,22:40:00,5398,5402,5394,5400,13520
2019/7/31 星期三,22:45:00,5398,5400,5394,5396,6366
2019/7/31 星期三,22:50:00,5398,5402,5392,5400,14456
2019/7/31 星期三,22:55:00,5402,5402,5396,5400,7592
2019/7/31 星期三,23:00:00,5402,5402,5394,5398,11170
2019/7/31 星期三,23:05:00,5398,5406,5396,5404,25104
2019/7/31 星期三,23:10:00,5404,5406,5400,5400,15060
2019/7/31 星期三,23:15:00,5400,5402,5392,5394,22124
2019/7/31 星期三,23:20:00,5394,5396,5386,5388,27306
2019/7/31 星期三,23:25:00,5388,5396,5388,5392,10294
2019/7/31 星期三,23:30:00,5392,5392,5374,5374,53366
2019/8/1 星期四,09:05:00,5364,5364,5340,5352,179130
2019/8/1 星期四,09:10:00,5352,5362,5346,5356,45422
2019/8/1 星期四,09:15:00,5356,5358,5350,5354,27026
2019/8/1 星期四,09:20:00,5354,5354,5336,5348,65016
2019/8/1 星期四,09:25:00,5350,5352,5342,5348,34454
2019/8/1 星期四,09:30:00,5346,5374,5346,5368,79672
2019/8/1 星期四,09:35:00,5368,5384,5364,5372,63318
2019/8/1 星期四,09:40:00,5374,5380,5370,5372,21392
2019/8/1 星期四,09:45:00,5372,5376,5368,5372,18084
2019/8/1 星期四,09:50:00,5372,5372,5362,5366,15966
2019/8/1 星期四,09:55:00,5364,5372,5364,5366,9824
2019/8/1 星期四,10:00:00,5368,5372,5362,5372,17316
2019/8/1 星期四,10:05:00,5370,5376,5366,5370,18436
2019/8/1 星期四,10:10:00,5370,5372,5360,5364,21550
2019/8/1 星期四,10:15:00,5364,5370,5362,5362,10684
2019/8/1 星期四,10:35:00,5362,5370,5360,5368,16680
2019/8/1 星期四,10:40:00,5366,5368,5356,5360,18972
2019/8/1 星期四,10:45:00,5360,5364,5352,5358,23260
2019/8/1 星期四,10:50:00,5360,5360,5340,5348,45312
2019/8/1 星期四,10:55:00,5350,5356,5348,5352,18714
2019/8/1 星期四,11:00:00,5354,5356,5338,5338,32732
2019/8/1 星期四,11:05:00,5338,5352,5338,5352,37076
2019/8/1 星期四,11:10:00,5352,5366,5348,5358,40244
2019/8/1 星期四,11:15:00,5356,5358,5352,5356,11066
2019/8/1 星期四,11:20:00,5356,5360,5352,5358,7968
2019/8/1 星期四,11:25:00,5358,5362,5352,5356,16132
2019/8/1 星期四,11:30:00,5356,5358,5348,5352,18814
2019/8/1 星期四,13:35:00,5352,5366,5350,5362,23018
2019/8/1 星期四,13:40:00,5362,5364,5352,5360,22388
2019/8/1 星期四,13:45:00,5358,5366,5356,5358,19594
2019/8/1 星期四,13:50:00,5358,5370,5356,5368,27256
2019/8/1 星期四,13:55:00,5368,5370,5362,5362,14430
2019/8/1 星期四,14:00:00,5364,5366,5360,5364,12528
2019/8/1 星期四,14:05:00,5366,5368,5358,5368,19080
2019/8/1 星期四,14:10:00,5368,5370,5362,5364,16370
2019/8/1 星期四,14:15:00,5366,5380,5366,5378,44144
2019/8/1 星期四,14:20:00,5378,5388,5374,5378,63982
2019/8/1 星期四,14:25:00,5378,5384,5376,5380,20814
2019/8/1 星期四,14:30:00,5382,5382,5368,5370,24816
2019/8/1 星期四,14:35:00,5368,5376,5368,5372,15274
2019/8/1 星期四,14:40:00,5372,5380,5370,5378,14022
2019/8/1 星期四,14:45:00,5378,5382,5374,5376,17534
2019/8/1 星期四,14:50:00,5376,5378,5372,5372,13446
2019/8/1 星期四,14:55:00,5374,5376,5370,5374,16930
2019/8/1 星期四,15:00:00,5372,5376,5370,5376,38738
2019/8/1 星期四,21:05:00,5366,5382,5360,5378,72278
2019/8/1 星期四,21:10:00,5380,5382,5346,5354,81170
2019/8/1 星期四,21:15:00,5354,5358,5342,5356,57388
2019/8/1 星期四,21:20:00,5356,5366,5352,5352,43906
2019/8/1 星期四,21:25:00,5354,5354,5326,5332,137930
2019/8/1 星期四,21:30:00,5332,5358,5326,5350,102048
2019/8/1 星期四,21:35:00,5352,5352,5342,5352,33656
2019/8/1 星期四,21:40:00,5350,5358,5346,5354,31338
2019/8/1 星期四,21:45:00,5352,5356,5344,5350,30220
2019/8/1 星期四,21:50:00,5350,5352,5344,5352,18628
2019/8/1 星期四,21:55:00,5350,5356,5348,5350,18346
2019/8/1 星期四,22:00:00,5350,5354,5342,5348,18292
2019/8/1 星期四,22:05:00,5350,5354,5346,5352,11474
2019/8/1 星期四,22:10:00,5352,5356,5348,5352,14298
2019/8/1 星期四,22:15:00,5352,5356,5346,5346,14266
2019/8/1 星期四,22:20:00,5346,5396,5346,5392,105902
2019/8/1 星期四,22:25:00,5392,5400,5386,5386,115816
2019/8/1 星期四,22:30:00,5388,5396,5386,5390,40222
2019/8/1 星期四,22:35:00,5392,5396,5382,5392,46610
2019/8/1 星期四,22:40:00,5394,5406,5388,5390,79496
2019/8/1 星期四,22:45:00,5392,5394,5386,5390,19446
2019/8/1 星期四,22:50:00,5390,5394,5384,5384,18126
2019/8/1 星期四,22:55:00,5386,5394,5382,5392,21968
2019/8/1 星期四,23:00:00,5390,5394,5386,5394,15958
2019/8/1 星期四,23:05:00,5392,5402,5386,5390,35518
2019/8/1 星期四,23:10:00,5392,5398,5388,5398,23078
2019/8/1 星期四,23:15:00,5398,5402,5384,5388,33256
2019/8/1 星期四,23:20:00,5388,5390,5366,5374,44586
2019/8/1 星期四,23:25:00,5374,5380,5372,5374,26028
