<Date>, <Time>, <Open>, <High>, <Low>, <Close>, <Volume>
2019/7/31 星期三,21:05:00,588.8,589.2,586.6,588.0,11296
2019/7/31 星期三,21:10:00,588.0,588.2,587.6,588.0,1200
2019/7/31 星期三,21:15:00,588.0,588.4,587.6,588.2,2154
2019/7/31 星期三,21:20:00,588.2,588.4,588.0,588.2,1018
2019/7/31 星期三,21:25:00,588.2,588.8,588.2,588.2,1480
2019/7/31 星期三,21:30:00,588.4,588.4,588.0,588.2,1390
2019/7/31 星期三,21:35:00,588.2,588.2,587.2,587.4,1638
2019/7/31 星期三,21:40:00,587.2,587.6,587.0,587.4,1014
2019/7/31 星期三,21:45:00,587.6,587.6,587.2,587.2,558
2019/7/31 星期三,21:50:00,587.2,587.2,586.6,587.2,2416
2019/7/31 星期三,21:55:00,587.0,587.2,587.0,587.0,822
2019/7/31 星期三,22:00:00,587.0,587.2,586.8,587.0,842
2019/7/31 星期三,22:05:00,586.8,587.2,586.8,587.0,756
2019/7/31 星期三,22:10:00,586.8,587.2,586.8,587.0,862
2019/7/31 星期三,22:15:00,587.0,587.2,586.8,586.8,650
2019/7/31 星期三,22:20:00,587.0,587.2,586.8,587.2,440
2019/7/31 星期三,22:25:00,587.2,587.4,586.8,587.2,774
2019/7/31 星期三,22:30:00,587.2,587.2,586.8,586.8,466
2019/7/31 星期三,22:35:00,587.0,587.2,586.8,587.2,692
2019/7/31 星期三,22:40:00,587.2,587.2,586.8,586.8,320
2019/7/31 星期三,22:45:00,586.8,587.0,586.6,586.6,1208
2019/7/31 星期三,22:50:00,586.8,587.0,586.6,586.8,658
2019/7/31 星期三,22:55:00,586.8,587.0,586.6,586.8,238
2019/7/31 星期三,23:00:00,586.8,587.0,586.2,586.4,1630
2019/7/31 星期三,23:05:00,586.6,586.6,585.0,585.4,5768
2019/7/31 星期三,23:10:00,585.8,586.4,585.2,586.0,2206
2019/7/31 星期三,23:15:00,586.0,586.2,585.6,585.8,1072
2019/7/31 星期三,23:20:00,585.8,586.0,585.6,586.0,518
2019/7/31 星期三,23:25:00,586.0,586.0,585.2,585.2,1060
2019/7/31 星期三,23:30:00,585.6,586.2,585.4,585.8,1672
2019/8/1 星期四,09:05:00,585.8,585.8,585.2,585.2,3870
2019/8/1 星期四,09:10:00,585.2,585.8,585.2,585.6,1516
2019/8/1 星期四,09:15:00,585.6,586.4,585.2,586.2,1730
2019/8/1 星期四,09:20:00,586.0,586.2,586.0,586.0,858
2019/8/1 星期四,09:25:00,586.0,586.8,586.0,586.6,1662
2019/8/1 星期四,09:30:00,586.6,586.6,586.2,586.4,526
2019/8/1 星期四,09:35:00,586.6,586.6,586.0,586.0,698
2019/8/1 星期四,09:40:00,586.2,586.2,585.8,586.0,578
2019/8/1 星期四,09:45:00,585.8,586.0,585.4,585.4,934
2019/8/1 星期四,09:50:00,585.4,585.6,585.2,585.2,2074
2019/8/1 星期四,09:55:00,585.2,585.4,585.0,585.2,1014
2019/8/1 星期四,10:00:00,585.0,585.4,584.8,585.2,2554
2019/8/1 星期四,10:05:00,585.0,585.2,584.6,584.6,1076
2019/8/1 星期四,10:10:00,584.6,584.8,583.0,583.8,5548
2019/8/1 星期四,10:15:00,584.0,585.0,583.8,584.2,2744
2019/8/1 星期四,10:35:00,584.2,584.4,583.6,583.8,1512
2019/8/1 星期四,10:40:00,583.8,584.6,583.6,584.4,1280
2019/8/1 星期四,10:45:00,584.4,584.6,584.0,584.0,752
2019/8/1 星期四,10:50:00,584.2,584.8,583.2,583.4,3200
2019/8/1 星期四,10:55:00,583.4,583.6,583.2,583.6,1830
2019/8/1 星期四,11:00:00,583.4,583.6,582.6,582.6,4122
2019/8/1 星期四,11:05:00,582.6,584.0,582.4,583.6,3978
2019/8/1 星期四,11:10:00,583.8,584.4,583.6,584.0,1526
2019/8/1 星期四,11:15:00,584.2,584.2,583.6,583.8,704
2019/8/1 星期四,11:20:00,584.0,584.4,583.8,584.0,1020
2019/8/1 星期四,11:25:00,584.2,584.4,584.0,584.2,350
2019/8/1 星期四,11:30:00,584.2,584.4,583.6,583.8,902
2019/8/1 星期四,13:35:00,583.8,585.0,583.6,584.8,2524
2019/8/1 星期四,13:40:00,584.8,585.0,584.2,584.4,1640
2019/8/1 星期四,13:45:00,584.4,584.6,584.0,584.2,540
2019/8/1 星期四,13:50:00,584.2,584.4,584.0,584.0,774
2019/8/1 星期四,13:55:00,584.2,584.6,584.2,584.2,740
2019/8/1 星期四,14:00:00,584.2,584.4,583.8,584.2,1122
2019/8/1 星期四,14:05:00,584.0,584.2,583.6,584.0,762
2019/8/1 星期四,14:10:00,584.0,584.2,583.8,584.0,378
2019/8/1 星期四,14:15:00,583.8,584.2,583.8,584.2,560
2019/8/1 星期四,14:20:00,584.0,584.2,584.0,584.0,204
2019/8/1 星期四,14:25:00,584.0,584.2,584.0,584.2,240
2019/8/1 星期四,14:30:00,584.4,584.4,584.0,584.4,562
2019/8/1 星期四,14:35:00,584.4,584.4,584.0,584.0,700
2019/8/1 星期四,14:40:00,584.0,584.4,583.8,584.2,456
2019/8/1 星期四,14:45:00,584.2,584.4,584.0,584.2,626
2019/8/1 星期四,14:50:00,584.2,584.2,583.8,584.2,398
2019/8/1 星期四,14:55:00,584.2,584.4,583.6,583.8,1544
2019/8/1 星期四,15:00:00,583.6,584.6,583.4,583.4,5988
2019/8/1 星期四,21:05:00,584.4,584.4,582.6,583.0,12252
2019/8/1 星期四,21:10:00,583.0,584.8,582.8,584.8,10064
2019/8/1 星期四,21:15:00,584.8,584.8,584.0,584.6,2818
2019/8/1 星期四,21:20:00,584.6,584.6,583.6,584.0,2984
2019/8/1 星期四,21:25:00,584.0,584.6,583.8,584.2,3038
2019/8/1 星期四,21:30:00,584.2,584.4,583.8,584.0,806
2019/8/1 星期四,21:35:00,584.0,584.2,583.8,584.2,348
2019/8/1 星期四,21:40:00,584.2,584.8,584.0,584.8,1392
2019/8/1 星期四,21:45:00,584.6,584.8,584.2,584.6,1996
2019/8/1 星期四,21:50:00,584.6,585.0,584.4,584.4,1390
2019/8/1 星期四,21:55:00,584.4,584.8,584.2,584.4,706
2019/8/1 星期四,22:00:00,584.6,584.8,584.4,584.8,694
2019/8/1 星期四,22:05:00,584.8,585.0,584.6,584.8,1540
2019/8/1 星期四,22:10:00,584.8,585.0,584.6,584.8,966
2019/8/1 星期四,22:15:00,584.6,584.8,584.0,584.0,1562
2019/8/1 星期四,22:20:00,584.0,584.4,584.0,584.4,704
2019/8/1 星期四,22:25:00,584.4,584.4,583.6,583.6,1054
2019/8/1 星期四,22:30:00,583.8,584.0,583.6,583.6,818
2019/8/1 星期四,22:35:00,583.8,584.0,583.4,583.8,1242
2019/8/1 星期四,22:40:00,584.0,584.2,583.8,584.2,288
2019/8/1 星期四,22:45:00,584.2,584.2,584.0,584.2,202
2019/8/1 星期四,22:50:00,584.0,584.0,583.6,583.8,510
2019/8/1 星期四,22:55:00,583.8,584.0,583.6,583.8,400
2019/8/1 星期四,23:00:00,583.8,584.0,583.8,583.8,176
2019/8/1 星期四,23:05:00,584.0,584.0,583.8,584.0,498
2019/8/1 星期四,23:10:00,583.6,584.0,583.6,583.6,574
2019/8/1 星期四,23:15:00,583.8,583.8,583.6,583.8,110
2019/8/1 星期四,23:20:00,583.6,584.0,583.6,583.8,1328
2019/8/1 星期四,23:25:00,583.8,584.2,583.8,584.2,770
2019/8/1 星期四,23:30:00,584.2,584.8,584.0,584.6,1744
2019/8/2 星期五,09:05:00,584.2,584.2,582.0,583.8,9484
2019/8/2 星期五,09:10:00,583.8,584.4,582.8,583.2,3988
2019/8/2 星期五,09:15:00,583.2,583.4,582.2,582.2,2686
2019/8/2 星期五,09:20:00,582.2,583.2,581.4,583.0,4992
2019/8/2 星期五,09:25:00,583.2,583.4,582.6,583.0,1114
2019/8/2 星期五,09:30:00,582.8,583.2,582.8,582.8,356
2019/8/2 星期五,09:35:00,582.8,583.0,582.2,582.6,700
2019/8/2 星期五,09:40:00,582.4,582.6,582.2,582.6,484
2019/8/2 星期五,09:45:00,582.4,582.8,582.2,582.8,602
2019/8/2 星期五,09:50:00,582.8,583.0,582.6,582.8,496
2019/8/2 星期五,09:55:00,582.8,583.4,582.6,583.2,1098
2019/8/2 星期五,10:00:00,583.2,583.2,582.6,582.6,700
2019/8/2 星期五,10:05:00,582.8,582.8,582.4,582.4,750
2019/8/2 星期五,10:10:00,582.4,582.8,582.4,582.6,466
2019/8/2 星期五,10:15:00,582.8,583.0,582.4,582.8,586
2019/8/2 星期五,10:35:00,583.0,583.0,582.6,582.8,598
2019/8/2 星期五,10:40:00,582.8,582.8,582.2,582.2,1000
2019/8/2 星期五,10:45:00,582.4,582.4,582.0,582.4,1272
2019/8/2 星期五,10:50:00,582.2,582.2,581.6,581.8,2754
2019/8/2 星期五,10:55:00,581.8,582.0,581.6,581.8,1098
2019/8/2 星期五,11:00:00,581.8,582.0,581.4,581.8,1370
2019/8/2 星期五,11:05:00,581.6,581.8,581.2,581.4,2058
2019/8/2 星期五,11:10:00,581.4,581.8,581.0,581.8,1798
2019/8/2 星期五,11:15:00,581.8,582.0,581.6,581.8,654
2019/8/2 星期五,11:20:00,581.8,582.0,581.6,581.8,790
2019/8/2 星期五,11:25:00,582.0,582.4,581.8,582.0,876
2019/8/2 星期五,11:30:00,582.0,582.0,581.2,581.4,928
2019/8/2 星期五,13:35:00,581.2,581.6,581.2,581.4,1096
2019/8/2 星期五,13:40:00,581.6,582.4,581.4,582.2,1456
2019/8/2 星期五,13:45:00,582.2,582.4,581.8,582.0,856
2019/8/2 星期五,13:50:00,582.0,582.2,581.8,582.0,582
2019/8/2 星期五,13:55:00,582.0,582.2,581.8,582.2,344
2019/8/2 星期五,14:00:00,582.2,582.6,582.0,582.4,772
2019/8/2 星期五,14:05:00,582.2,582.4,581.8,581.8,1198
2019/8/2 星期五,14:10:00,582.0,582.0,581.4,581.6,1042
2019/8/2 星期五,14:15:00,581.8,581.8,581.6,581.8,418
2019/8/2 星期五,14:20:00,581.6,581.8,581.4,581.4,490
2019/8/2 星期五,14:25:00,581.6,581.8,581.4,581.8,446
2019/8/2 星期五,14:30:00,581.6,581.6,581.4,581.4,1080
2019/8/2 星期五,14:35:00,581.4,581.6,581.2,581.4,1128
2019/8/2 星期五,14:40:00,581.2,581.4,581.0,581.4,1816
2019/8/2 星期五,14:45:00,581.2,581.8,581.2,581.6,1274
2019/8/2 星期五,14:50:00,581.6,582.0,581.2,581.2,1198
2019/8/2 星期五,14:55:00,581.2,581.6,581.0,581.2,2008
2019/8/2 星期五,15:00:00,581.0,581.4,580.6,580.6,5870
2019/8/2 星期五,21:05:00,582.6,582.6,578.8,581.0,17060
2019/8/2 星期五,21:10:00,581.0,581.6,580.2,581.0,3874
2019/8/2 星期五,21:15:00,581.0,581.4,580.8,581.2,1142
2019/8/2 星期五,21:20:00,581.2,581.8,581.0,581.0,1258
2019/8/2 星期五,21:25:00,581.0,581.4,580.6,580.8,1184
2019/8/2 星期五,21:30:00,581.0,581.0,580.8,581.0,650
2019/8/2 星期五,21:35:00,581.0,581.2,580.8,581.2,906
2019/8/2 星期五,21:40:00,581.0,581.0,580.6,580.8,478
2019/8/2 星期五,21:45:00,580.8,581.2,580.8,581.2,576
2019/8/2 星期五,21:50:00,581.2,581.4,581.0,581.4,420
2019/8/2 星期五,21:55:00,581.4,581.8,581.2,581.6,888
2019/8/2 星期五,22:00:00,581.4,581.4,581.0,581.0,412
2019/8/2 星期五,22:05:00,581.2,581.6,581.0,581.6,838
2019/8/2 星期五,22:10:00,581.4,581.8,581.4,581.8,590
2019/8/2 星期五,22:15:00,581.8,582.2,581.6,582.0,2084
2019/8/2 星期五,22:20:00,582.2,582.2,581.8,582.0,1638
2019/8/2 星期五,22:25:00,582.0,583.8,582.0,583.6,7252
2019/8/2 星期五,22:30:00,583.4,583.6,582.8,583.2,1660
2019/8/2 星期五,22:35:00,583.0,583.0,582.6,582.6,656
2019/8/2 星期五,22:40:00,582.8,582.8,582.4,582.6,542
2019/8/2 星期五,22:45:00,582.6,582.6,582.2,582.2,658
2019/8/2 星期五,22:50:00,582.4,582.6,582.2,582.4,350
2019/8/2 星期五,22:55:00,582.4,582.8,582.2,582.2,778
2019/8/2 星期五,23:00:00,582.2,582.4,582.0,582.4,446
2019/8/2 星期五,23:05:00,582.6,582.6,582.2,582.4,148
2019/8/2 星期五,23:10:00,582.2,582.6,582.2,582.4,316
2019/8/2 星期五,23:15:00,582.4,582.6,582.4,582.4,54
2019/8/2 星期五,23:20:00,582.4,582.6,582.4,582.6,320
2019/8/2 星期五,23:25:00,582.6,582.8,582.6,582.8,196
2019/8/2 星期五,23:30:00,582.8,583.0,582.4,582.8,1390
2019/8/5 星期一,09:05:00,582.4,582.6,579.4,580.0,9712
2019/8/5 星期一,09:10:00,580.0,580.6,580.0,580.2,1520
2019/8/5 星期一,09:15:00,580.2,580.2,579.8,580.0,2090
2019/8/5 星期一,09:20:00,580.0,580.2,579.6,580.0,1744
2019/8/5 星期一,09:25:00,580.2,580.2,579.2,579.4,2340
2019/8/5 星期一,09:30:00,579.2,579.6,579.0,579.0,1764
2019/8/5 星期一,09:35:00,579.0,579.4,578.8,579.2,2374
2019/8/5 星期一,09:40:00,579.2,579.4,579.0,579.2,1340
2019/8/5 星期一,09:45:00,579.2,579.4,579.0,579.0,506
2019/8/5 星期一,09:50:00,579.0,579.2,578.2,578.2,3026
2019/8/5 星期一,09:55:00,578.2,578.4,577.8,577.8,4488
2019/8/5 星期一,10:00:00,577.8,578.4,577.0,577.0,6374
2019/8/5 星期一,10:05:00,577.0,578.2,577.0,578.0,2442
2019/8/5 星期一,10:10:00,577.8,578.8,577.8,578.4,1586
2019/8/5 星期一,10:15:00,578.4,578.4,578.0,578.2,920
2019/8/5 星期一,10:35:00,578.2,578.2,577.4,577.6,1006
2019/8/5 星期一,10:40:00,577.4,577.6,577.2,577.4,1238
2019/8/5 星期一,10:45:00,577.4,577.6,577.0,577.4,2160
2019/8/5 星期一,10:50:00,577.0,577.2,576.8,577.0,2050
2019/8/5 星期一,10:55:00,576.8,577.0,576.4,576.8,3110
2019/8/5 星期一,11:00:00,576.6,576.8,575.8,576.0,7866
2019/8/5 星期一,11:05:00,576.0,576.4,575.6,576.0,5670
2019/8/5 星期一,11:10:00,575.8,576.6,575.8,576.2,1690
2019/8/5 星期一,11:15:00,576.4,576.4,575.8,575.8,1096
2019/8/5 星期一,11:20:00,575.8,577.6,575.8,577.4,3232
2019/8/5 星期一,11:25:00,577.4,577.8,576.6,577.2,2544
2019/8/5 星期一,11:30:00,577.4,577.8,577.2,577.6,1612
2019/8/5 星期一,13:35:00,577.4,577.6,577.2,577.4,1568
2019/8/5 星期一,13:40:00,577.2,577.6,576.8,576.8,1546
2019/8/5 星期一,13:45:00,576.8,577.2,576.8,577.0,552
2019/8/5 星期一,13:50:00,577.0,577.2,576.6,577.0,830
2019/8/5 星期一,13:55:00,577.0,577.4,576.2,576.4,1630
2019/8/5 星期一,14:00:00,576.4,576.8,576.2,576.2,1208
2019/8/5 星期一,14:05:00,576.2,576.8,576.2,576.6,764
2019/8/5 星期一,14:10:00,576.6,577.2,576.6,576.8,816
2019/8/5 星期一,14:15:00,576.8,577.0,576.6,576.6,336
2019/8/5 星期一,14:20:00,576.6,576.8,576.4,576.6,846
2019/8/5 星期一,14:25:00,576.8,577.0,576.6,576.8,362
2019/8/5 星期一,14:30:00,577.0,577.4,577.0,577.4,936
2019/8/5 星期一,14:35:00,577.2,577.4,576.6,576.8,754
2019/8/5 星期一,14:40:00,576.8,577.0,576.4,576.4,616
2019/8/5 星期一,14:45:00,576.6,576.8,576.2,576.4,986
2019/8/5 星期一,14:50:00,576.6,576.6,576.2,576.2,786
2019/8/5 星期一,14:55:00,576.4,576.8,576.0,576.2,1770
2019/8/5 星期一,15:00:00,576.2,577.0,576.0,577.0,3348
2019/8/5 星期一,21:05:00,577.0,578.8,577.0,578.6,8442
2019/8/5 星期一,21:10:00,578.6,579.6,578.4,579.0,4662
2019/8/5 星期一,21:15:00,579.0,579.8,578.8,579.6,3334
2019/8/5 星期一,21:20:00,579.6,579.8,579.2,579.6,2156
2019/8/5 星期一,21:25:00,579.8,579.8,579.2,579.2,1378
2019/8/5 星期一,21:30:00,579.2,579.6,579.0,579.6,1168
2019/8/5 星期一,21:35:00,579.4,579.6,578.8,579.0,1508
2019/8/5 星期一,21:40:00,579.0,579.2,578.8,578.8,362
2019/8/5 星期一,21:45:00,579.0,579.0,578.8,578.8,354
2019/8/5 星期一,21:50:00,578.8,579.0,578.6,579.0,414
2019/8/5 星期一,21:55:00,579.0,579.0,578.6,578.6,1086
2019/8/5 星期一,22:00:00,578.4,578.6,578.2,578.6,1066
2019/8/5 星期一,22:05:00,578.8,578.8,578.6,578.6,402
2019/8/5 星期一,22:10:00,578.6,578.6,578.2,578.4,526
2019/8/5 星期一,22:15:00,578.4,578.6,578.4,578.6,158
2019/8/5 星期一,22:20:00,578.4,578.6,578.4,578.4,322
2019/8/5 星期一,22:25:00,578.4,578.4,578.2,578.4,320
2019/8/5 星期一,22:30:00,578.2,578.6,578.2,578.4,156
2019/8/5 星期一,22:35:00,578.6,578.6,578.4,578.4,144
2019/8/5 星期一,22:40:00,578.4,579.6,578.4,579.0,3116
2019/8/5 星期一,22:45:00,579.2,579.4,579.0,579.4,900
2019/8/5 星期一,22:50:00,579.4,580.0,579.2,579.8,2186
2019/8/5 星期一,22:55:00,579.8,580.4,579.6,580.2,2154
2019/8/5 星期一,23:00:00,580.4,580.4,579.4,579.8,1966
2019/8/5 星期一,23:05:00,579.8,580.0,579.6,580.0,220
2019/8/5 星期一,23:10:00,579.8,580.0,579.8,580.0,696
2019/8/5 星期一,23:15:00,579.8,580.4,579.8,580.4,556
2019/8/5 星期一,23:20:00,580.2,580.4,579.8,580.2,566
2019/8/5 星期一,23:25:00,580.0,580.4,580.0,580.4,370
2019/8/5 星期一,23:30:00,580.4,580.4,579.4,579.6,1194
2019/8/6 星期二,09:05:00,579.4,579.6,578.6,579.2,3926
2019/8/6 星期二,09:10:00,579.4,579.8,579.0,579.6,2656
2019/8/6 星期二,09:15:00,579.6,579.8,579.2,579.6,904
2019/8/6 星期二,09:20:00,579.4,579.6,579.2,579.4,744
2019/8/6 星期二,09:25:00,579.4,580.0,579.4,579.8,1210
2019/8/6 星期二,09:30:00,579.8,580.2,579.4,580.2,1888
2019/8/6 星期二,09:35:00,580.4,581.4,580.4,580.6,3120
2019/8/6 星期二,09:40:00,580.8,582.4,580.4,582.4,3562
2019/8/6 星期二,09:45:00,582.2,583.0,581.8,583.0,6018
2019/8/6 星期二,09:50:00,583.0,583.6,582.4,582.8,6422
2019/8/6 星期二,09:55:00,582.6,583.2,582.6,583.0,2260
2019/8/6 星期二,10:00:00,583.2,583.6,583.0,583.4,2968
2019/8/6 星期二,10:05:00,583.4,584.6,583.4,584.4,9138
2019/8/6 星期二,10:10:00,584.2,584.6,583.2,583.6,4154
2019/8/6 星期二,10:15:00,583.6,583.8,582.6,582.8,3082
2019/8/6 星期二,10:35:00,582.8,583.0,582.2,582.8,4596
2019/8/6 星期二,10:40:00,582.8,583.4,582.6,583.2,1498
2019/8/6 星期二,10:45:00,583.4,583.6,583.2,583.4,1088
2019/8/6 星期二,10:50:00,583.6,583.6,583.4,583.6,1118
2019/8/6 星期二,10:55:00,583.6,583.6,583.0,583.0,1234
2019/8/6 星期二,11:00:00,583.0,583.2,582.6,582.8,1188
2019/8/6 星期二,11:05:00,582.6,583.0,582.2,582.4,1176
2019/8/6 星期二,11:10:00,582.4,582.8,582.2,582.4,912
2019/8/6 星期二,11:15:00,582.4,582.6,582.2,582.6,600
2019/8/6 星期二,11:20:00,582.6,583.2,582.4,582.8,1336
2019/8/6 星期二,11:25:00,582.8,582.8,582.0,582.2,1480
2019/8/6 星期二,11:30:00,582.2,582.2,581.6,582.2,1986
2019/8/6 星期二,13:35:00,582.2,582.2,581.8,582.2,662
2019/8/6 星期二,13:40:00,582.0,582.6,582.0,582.4,994
2019/8/6 星期二,13:45:00,582.4,582.4,581.8,581.8,824
2019/8/6 星期二,13:50:00,581.8,582.2,581.6,582.2,916
2019/8/6 星期二,13:55:00,582.2,582.4,582.0,582.2,628
2019/8/6 星期二,14:00:00,582.0,582.0,581.6,581.6,442
2019/8/6 星期二,14:05:00,581.8,581.8,581.6,581.6,476
