<Date>, <Time>, <Open>, <High>, <Low>, <Close>, <Volume>
2019/7/31 星期三,21:05:00,3388,3389,3382,3388,4454
2019/7/31 星期三,21:10:00,3388,3389,3386,3387,714
2019/7/31 星期三,21:15:00,3387,3388,3385,3387,848
2019/7/31 星期三,21:20:00,3387,3387,3385,3385,784
2019/7/31 星期三,21:25:00,3385,3386,3383,3385,1082
2019/7/31 星期三,21:30:00,3384,3385,3384,3385,194
2019/7/31 星期三,21:35:00,3384,3385,3382,3383,644
2019/7/31 星期三,21:40:00,3383,3384,3382,3383,656
2019/7/31 星期三,21:45:00,3384,3385,3382,3384,720
2019/7/31 星期三,21:50:00,3383,3384,3382,3383,230
2019/7/31 星期三,21:55:00,3383,3383,3382,3383,450
2019/7/31 星期三,22:00:00,3383,3383,3381,3381,356
2019/7/31 星期三,22:05:00,3381,3382,3380,3380,912
2019/7/31 星期三,22:10:00,3381,3382,3379,3379,616
2019/7/31 星期三,22:15:00,3380,3380,3377,3377,844
2019/7/31 星期三,22:20:00,3378,3379,3376,3376,1820
2019/7/31 星期三,22:25:00,3376,3378,3376,3376,742
2019/7/31 星期三,22:30:00,3377,3377,3375,3376,708
2019/7/31 星期三,22:35:00,3376,3380,3375,3378,908
2019/7/31 星期三,22:40:00,3380,3380,3377,3378,488
2019/7/31 星期三,22:45:00,3378,3378,3377,3378,334
2019/7/31 星期三,22:50:00,3377,3378,3376,3378,408
2019/7/31 星期三,22:55:00,3378,3378,3376,3376,198
2019/7/31 星期三,23:00:00,3377,3378,3376,3376,1056
2019/8/1 星期四,09:05:00,3372,3377,3370,3374,5944
2019/8/1 星期四,09:10:00,3373,3376,3373,3374,2338
2019/8/1 星期四,09:15:00,3373,3381,3373,3381,2836
2019/8/1 星期四,09:20:00,3381,3381,3377,3378,1418
2019/8/1 星期四,09:25:00,3378,3379,3377,3378,876
2019/8/1 星期四,09:30:00,3377,3378,3376,3377,816
2019/8/1 星期四,09:35:00,3377,3379,3375,3378,1368
2019/8/1 星期四,09:40:00,3379,3379,3376,3376,584
2019/8/1 星期四,09:45:00,3377,3378,3376,3378,546
2019/8/1 星期四,09:50:00,3377,3378,3375,3375,852
2019/8/1 星期四,09:55:00,3376,3376,3374,3375,886
2019/8/1 星期四,10:00:00,3374,3375,3373,3373,778
2019/8/1 星期四,10:05:00,3373,3374,3370,3373,3206
2019/8/1 星期四,10:10:00,3372,3373,3371,3371,1246
2019/8/1 星期四,10:15:00,3371,3373,3368,3370,4072
2019/8/1 星期四,10:35:00,3371,3371,3362,3366,6732
2019/8/1 星期四,10:40:00,3367,3370,3366,3368,1810
2019/8/1 星期四,10:45:00,3368,3368,3363,3364,3936
2019/8/1 星期四,10:50:00,3364,3368,3362,3367,3490
2019/8/1 星期四,10:55:00,3367,3369,3366,3368,1962
2019/8/1 星期四,11:00:00,3368,3370,3367,3369,1498
2019/8/1 星期四,11:05:00,3369,3370,3367,3369,1554
2019/8/1 星期四,11:10:00,3368,3370,3368,3368,538
2019/8/1 星期四,11:15:00,3368,3372,3366,3370,2052
2019/8/1 星期四,11:20:00,3370,3370,3368,3370,604
2019/8/1 星期四,11:25:00,3370,3371,3369,3370,368
2019/8/1 星期四,11:30:00,3370,3372,3369,3371,698
2019/8/1 星期四,13:35:00,3371,3372,3367,3369,1192
2019/8/1 星期四,13:40:00,3368,3370,3368,3369,932
2019/8/1 星期四,13:45:00,3369,3372,3368,3371,862
2019/8/1 星期四,13:50:00,3372,3373,3371,3372,764
2019/8/1 星期四,13:55:00,3373,3374,3370,3373,1588
2019/8/1 星期四,14:00:00,3373,3373,3372,3372,248
2019/8/1 星期四,14:05:00,3372,3373,3371,3373,710
2019/8/1 星期四,14:10:00,3373,3374,3371,3371,772
2019/8/1 星期四,14:15:00,3371,3374,3371,3373,636
2019/8/1 星期四,14:20:00,3373,3375,3373,3374,630
2019/8/1 星期四,14:25:00,3374,3375,3373,3374,796
2019/8/1 星期四,14:30:00,3374,3375,3373,3375,604
2019/8/1 星期四,14:35:00,3375,3376,3374,3376,1104
2019/8/1 星期四,14:40:00,3376,3376,3375,3375,664
2019/8/1 星期四,14:45:00,3375,3378,3375,3378,1386
2019/8/1 星期四,14:50:00,3378,3378,3376,3377,1222
2019/8/1 星期四,14:55:00,3377,3378,3376,3376,1496
2019/8/1 星期四,15:00:00,3376,3379,3375,3377,2902
2019/8/1 星期四,21:05:00,3380,3381,3376,3377,5384
2019/8/1 星期四,21:10:00,3376,3378,3375,3376,1634
2019/8/1 星期四,21:15:00,3376,3378,3376,3377,744
2019/8/1 星期四,21:20:00,3378,3378,3376,3378,530
2019/8/1 星期四,21:25:00,3377,3381,3377,3379,2284
2019/8/1 星期四,21:30:00,3378,3381,3378,3379,664
2019/8/1 星期四,21:35:00,3380,3380,3377,3378,722
2019/8/1 星期四,21:40:00,3378,3379,3377,3378,484
2019/8/1 星期四,21:45:00,3378,3378,3376,3376,540
2019/8/1 星期四,21:50:00,3376,3377,3374,3374,1084
2019/8/1 星期四,21:55:00,3374,3376,3374,3374,940
2019/8/1 星期四,22:00:00,3375,3376,3373,3375,1166
2019/8/1 星期四,22:05:00,3375,3377,3374,3376,502
2019/8/1 星期四,22:10:00,3375,3376,3374,3375,422
2019/8/1 星期四,22:15:00,3375,3376,3374,3375,282
2019/8/1 星期四,22:20:00,3374,3376,3374,3375,216
2019/8/1 星期四,22:25:00,3375,3376,3374,3376,310
2019/8/1 星期四,22:30:00,3375,3376,3374,3375,478
2019/8/1 星期四,22:35:00,3375,3376,3375,3375,474
2019/8/1 星期四,22:40:00,3376,3376,3374,3374,206
2019/8/1 星期四,22:45:00,3375,3375,3373,3374,220
2019/8/1 星期四,22:50:00,3374,3375,3373,3375,372
2019/8/1 星期四,22:55:00,3375,3375,3373,3374,378
2019/8/1 星期四,23:00:00,3374,3375,3372,3373,846
2019/8/2 星期五,09:05:00,3378,3388,3378,3387,10626
2019/8/2 星期五,09:10:00,3387,3392,3386,3392,9076
2019/8/2 星期五,09:15:00,3392,3400,3391,3393,9040
2019/8/2 星期五,09:20:00,3394,3398,3391,3396,8942
2019/8/2 星期五,09:25:00,3396,3399,3392,3393,6208
2019/8/2 星期五,09:30:00,3393,3394,3388,3389,3936
2019/8/2 星期五,09:35:00,3390,3395,3390,3393,5026
2019/8/2 星期五,09:40:00,3394,3395,3392,3393,2006
2019/8/2 星期五,09:45:00,3392,3399,3392,3397,5332
2019/8/2 星期五,09:50:00,3398,3403,3398,3398,7632
2019/8/2 星期五,09:55:00,3399,3401,3397,3399,2740
2019/8/2 星期五,10:00:00,3399,3400,3395,3395,3080
2019/8/2 星期五,10:05:00,3396,3400,3395,3399,4374
2019/8/2 星期五,10:10:00,3398,3401,3397,3398,2042
2019/8/2 星期五,10:15:00,3398,3399,3393,3395,1574
2019/8/2 星期五,10:35:00,3395,3396,3391,3393,3056
2019/8/2 星期五,10:40:00,3392,3393,3384,3384,5094
2019/8/2 星期五,10:45:00,3385,3386,3374,3375,7236
2019/8/2 星期五,10:50:00,3375,3376,3371,3374,5260
2019/8/2 星期五,10:55:00,3375,3375,3369,3372,5734
2019/8/2 星期五,11:00:00,3372,3374,3370,3371,2976
2019/8/2 星期五,11:05:00,3371,3371,3365,3368,5982
2019/8/2 星期五,11:10:00,3368,3368,3363,3365,6466
2019/8/2 星期五,11:15:00,3365,3365,3353,3355,13054
2019/8/2 星期五,11:20:00,3355,3355,3336,3340,16378
2019/8/2 星期五,11:25:00,3339,3339,3304,3335,28098
2019/8/2 星期五,11:30:00,3335,3340,3329,3330,8052
2019/8/2 星期五,13:35:00,3330,3343,3315,3341,15392
2019/8/2 星期五,13:40:00,3340,3351,3338,3351,6330
2019/8/2 星期五,13:45:00,3350,3354,3349,3354,4436
2019/8/2 星期五,13:50:00,3353,3354,3349,3349,3452
2019/8/2 星期五,13:55:00,3349,3351,3346,3347,2902
2019/8/2 星期五,14:00:00,3346,3352,3346,3350,2120
2019/8/2 星期五,14:05:00,3350,3352,3349,3351,1450
2019/8/2 星期五,14:10:00,3351,3352,3347,3348,1240
2019/8/2 星期五,14:15:00,3348,3351,3347,3349,1600
2019/8/2 星期五,14:20:00,3350,3351,3348,3351,888
2019/8/2 星期五,14:25:00,3348,3350,3346,3347,1928
2019/8/2 星期五,14:30:00,3347,3349,3347,3347,1058
2019/8/2 星期五,14:35:00,3347,3349,3347,3348,814
2019/8/2 星期五,14:40:00,3347,3352,3346,3349,2374
2019/8/2 星期五,14:45:00,3349,3352,3348,3349,1388
2019/8/2 星期五,14:50:00,3349,3353,3347,3353,2764
2019/8/2 星期五,14:55:00,3353,3361,3352,3361,7276
2019/8/2 星期五,15:00:00,3361,3368,3360,3368,7300
2019/8/2 星期五,21:05:00,3370,3372,3362,3366,8926
2019/8/2 星期五,21:10:00,3364,3373,3364,3373,4296
2019/8/2 星期五,21:15:00,3373,3381,3371,3376,7100
2019/8/2 星期五,21:20:00,3377,3377,3373,3376,2728
2019/8/2 星期五,21:25:00,3375,3378,3373,3374,1706
2019/8/2 星期五,21:30:00,3374,3375,3373,3374,1506
2019/8/2 星期五,21:35:00,3374,3374,3371,3373,1098
2019/8/2 星期五,21:40:00,3374,3374,3369,3371,1602
2019/8/2 星期五,21:45:00,3370,3371,3367,3368,1222
2019/8/2 星期五,21:50:00,3369,3369,3366,3368,972
2019/8/2 星期五,21:55:00,3369,3370,3367,3369,804
2019/8/2 星期五,22:00:00,3369,3374,3368,3374,1398
2019/8/2 星期五,22:05:00,3374,3375,3370,3372,1080
2019/8/2 星期五,22:10:00,3372,3372,3369,3370,650
2019/8/2 星期五,22:15:00,3370,3372,3369,3371,598
2019/8/2 星期五,22:20:00,3371,3373,3370,3372,490
2019/8/2 星期五,22:25:00,3372,3379,3371,3372,3770
2019/8/2 星期五,22:30:00,3371,3372,3368,3371,1378
2019/8/2 星期五,22:35:00,3371,3377,3370,3375,1752
2019/8/2 星期五,22:40:00,3377,3377,3371,3373,1598
2019/8/2 星期五,22:45:00,3372,3375,3371,3374,940
2019/8/2 星期五,22:50:00,3374,3375,3372,3372,486
2019/8/2 星期五,22:55:00,3373,3374,3372,3372,268
2019/8/2 星期五,23:00:00,3372,3373,3368,3372,1756
2019/8/5 星期一,09:05:00,3370,3385,3370,3383,6468
2019/8/5 星期一,09:10:00,3382,3386,3378,3383,3988
