<Date>, <Time>, <Open>, <High>, <Low>, <Close>, <Volume>
2019/7/31 星期三,21:05:00,761.5,764.0,760.0,762.5,79018
2019/7/31 星期三,21:10:00,762.5,764.5,762.0,763.5,29920
2019/7/31 星期三,21:15:00,763.5,764.5,763.0,763.5,13024
2019/7/31 星期三,21:20:00,763.5,765.0,763.0,764.5,16806
2019/7/31 星期三,21:25:00,764.0,766.5,764.0,766.0,26070
2019/7/31 星期三,21:30:00,766.0,767.5,766.0,766.0,30184
2019/7/31 星期三,21:35:00,766.0,767.5,765.5,765.5,19754
2019/7/31 星期三,21:40:00,766.0,766.0,764.0,764.0,11902
2019/7/31 星期三,21:45:00,764.0,765.5,762.5,765.0,30562
2019/7/31 星期三,21:50:00,765.0,765.5,763.5,764.0,11120
2019/7/31 星期三,21:55:00,764.0,764.5,763.0,763.0,6122
2019/7/31 星期三,22:00:00,763.0,763.5,761.0,763.0,16152
2019/7/31 星期三,22:05:00,763.0,765.5,762.5,764.5,19016
2019/7/31 星期三,22:10:00,764.0,764.0,758.0,759.5,64634
2019/7/31 星期三,22:15:00,759.5,760.5,758.5,759.5,25638
2019/7/31 星期三,22:20:00,759.5,759.5,757.0,757.5,39590
2019/7/31 星期三,22:25:00,757.5,759.0,756.0,757.5,38128
2019/7/31 星期三,22:30:00,757.5,757.5,755.0,756.0,41970
2019/7/31 星期三,22:35:00,756.5,759.0,756.0,758.5,30682
2019/7/31 星期三,22:40:00,758.0,760.0,757.5,757.5,23742
2019/7/31 星期三,22:45:00,757.0,758.0,755.5,756.0,16210
2019/7/31 星期三,22:50:00,756.0,758.5,756.0,758.0,9680
2019/7/31 星期三,22:55:00,758.0,758.5,755.5,757.5,17912
2019/7/31 星期三,23:00:00,757.0,757.5,754.0,756.0,34346
2019/8/1 星期四,09:05:00,755.0,762.0,755.0,761.5,71432
2019/8/1 星期四,09:10:00,761.0,765.5,760.0,764.5,52730
2019/8/1 星期四,09:15:00,764.5,766.0,764.0,764.5,29166
2019/8/1 星期四,09:20:00,764.5,765.0,763.0,763.5,25914
2019/8/1 星期四,09:25:00,764.0,764.0,762.0,763.0,18658
2019/8/1 星期四,09:30:00,763.0,763.5,762.0,762.5,10396
2019/8/1 星期四,09:35:00,762.5,763.0,761.5,762.0,11060
2019/8/1 星期四,09:40:00,762.5,764.0,762.0,763.0,8364
2019/8/1 星期四,09:45:00,762.5,763.0,760.5,761.0,10750
2019/8/1 星期四,09:50:00,761.5,761.5,758.5,759.0,17972
2019/8/1 星期四,09:55:00,759.0,760.0,757.5,759.0,21940
2019/8/1 星期四,10:00:00,759.0,760.0,758.0,759.5,10620
2019/8/1 星期四,10:05:00,759.5,760.5,758.0,758.0,12074
2019/8/1 星期四,10:10:00,758.5,759.0,757.0,757.5,19310
2019/8/1 星期四,10:15:00,757.5,759.0,756.5,757.0,18498
2019/8/1 星期四,10:35:00,757.0,757.5,755.5,755.5,21128
2019/8/1 星期四,10:40:00,756.0,757.0,752.0,753.0,57050
2019/8/1 星期四,10:45:00,753.0,756.0,752.5,755.5,38894
2019/8/1 星期四,10:50:00,755.5,755.5,751.5,751.5,36452
2019/8/1 星期四,10:55:00,752.0,753.0,750.0,752.0,50346
2019/8/1 星期四,11:00:00,752.0,752.5,747.5,748.0,39842
2019/8/1 星期四,11:05:00,747.5,749.5,747.0,749.0,45478
2019/8/1 星期四,11:10:00,749.0,752.5,748.5,751.0,33692
2019/8/1 星期四,11:15:00,751.0,752.5,749.5,751.5,24492
2019/8/1 星期四,11:20:00,751.5,753.5,750.5,752.0,14868
2019/8/1 星期四,11:25:00,751.5,752.5,750.5,751.0,17368
2019/8/1 星期四,11:30:00,751.0,752.5,750.0,752.0,12918
2019/8/1 星期四,13:35:00,751.5,752.0,749.5,751.5,25252
2019/8/1 星期四,13:40:00,752.0,752.0,749.0,750.5,11926
2019/8/1 星期四,13:45:00,750.0,750.5,748.0,749.0,14432
2019/8/1 星期四,13:50:00,748.5,754.5,748.5,754.0,27766
2019/8/1 星期四,13:55:00,754.0,754.5,752.5,752.5,20222
2019/8/1 星期四,14:00:00,752.5,754.0,752.0,753.0,14636
2019/8/1 星期四,14:05:00,753.5,753.5,752.5,752.5,8038
2019/8/1 星期四,14:10:00,753.0,755.0,752.5,754.0,17780
2019/8/1 星期四,14:15:00,754.0,756.5,754.0,755.5,36478
2019/8/1 星期四,14:20:00,756.0,756.5,753.5,754.0,16948
2019/8/1 星期四,14:25:00,754.0,754.0,751.0,752.0,25240
2019/8/1 星期四,14:30:00,752.0,752.0,750.0,751.0,16766
2019/8/1 星期四,14:35:00,751.0,752.0,749.5,749.5,17662
2019/8/1 星期四,14:40:00,750.0,752.0,749.5,751.0,10478
2019/8/1 星期四,14:45:00,751.0,752.5,749.0,750.0,25036
2019/8/1 星期四,14:50:00,750.5,752.0,749.0,750.0,18778
2019/8/1 星期四,14:55:00,750.0,750.5,747.5,747.5,25996
2019/8/1 星期四,15:00:00,747.5,749.0,747.0,747.5,46198
2019/8/1 星期四,21:05:00,740.0,742.0,738.0,740.0,137078
2019/8/1 星期四,21:10:00,740.0,740.5,736.5,736.5,59422
2019/8/1 星期四,21:15:00,737.0,738.5,735.5,735.5,45512
2019/8/1 星期四,21:20:00,735.5,736.5,733.0,734.5,67052
2019/8/1 星期四,21:25:00,734.5,735.5,733.0,735.5,42212
2019/8/1 星期四,21:30:00,735.5,737.0,735.0,735.5,32506
2019/8/1 星期四,21:35:00,735.5,736.0,733.5,734.0,21614
2019/8/1 星期四,21:40:00,734.0,735.5,733.0,733.5,29458
2019/8/1 星期四,21:45:00,733.5,734.0,731.5,732.5,38752
2019/8/1 星期四,21:50:00,732.5,734.0,732.0,732.0,18234
2019/8/1 星期四,21:55:00,732.0,734.5,732.0,734.0,12360
2019/8/1 星期四,22:00:00,734.0,734.5,732.0,732.0,14420
2019/8/1 星期四,22:05:00,732.0,734.5,731.5,734.5,18130
2019/8/1 星期四,22:10:00,734.5,736.0,733.5,735.0,35046
2019/8/1 星期四,22:15:00,735.0,735.5,733.5,734.5,16934
2019/8/1 星期四,22:20:00,734.5,735.5,733.5,735.5,9326
2019/8/1 星期四,22:25:00,735.5,737.5,734.5,736.0,38322
2019/8/1 星期四,22:30:00,736.0,737.5,736.0,736.0,15236
2019/8/1 星期四,22:35:00,736.0,736.5,734.0,734.5,16254
2019/8/1 星期四,22:40:00,734.5,734.5,733.5,733.5,19050
2019/8/1 星期四,22:45:00,733.5,735.5,733.5,735.5,11756
2019/8/1 星期四,22:50:00,735.5,735.5,733.5,733.5,8190
2019/8/1 星期四,22:55:00,734.0,736.0,733.5,735.5,10192
2019/8/1 星期四,23:00:00,736.0,736.0,733.0,734.5,24840
2019/8/2 星期五,09:05:00,729.5,729.5,721.0,726.5,173532
2019/8/2 星期五,09:10:00,726.0,733.5,724.5,730.5,74496
2019/8/2 星期五,09:15:00,730.5,733.0,730.0,732.5,62588
2019/8/2 星期五,09:20:00,732.0,739.5,730.0,738.0,101558
2019/8/2 星期五,09:25:00,737.5,738.0,735.0,735.5,33246
2019/8/2 星期五,09:30:00,735.5,739.0,734.0,738.5,37612
2019/8/2 星期五,09:35:00,738.5,739.0,736.0,736.0,17968
2019/8/2 星期五,09:40:00,736.0,737.5,735.5,737.0,16166
2019/8/2 星期五,09:45:00,737.0,738.5,736.0,738.5,9544
2019/8/2 星期五,09:50:00,738.5,740.5,737.5,738.0,38716
2019/8/2 星期五,09:55:00,738.0,740.5,738.0,739.0,30744
2019/8/2 星期五,10:00:00,738.5,739.5,737.5,737.5,10684
2019/8/2 星期五,10:05:00,738.0,738.0,736.0,736.0,10072
2019/8/2 星期五,10:10:00,736.0,737.5,735.0,735.0,13356
2019/8/2 星期五,10:15:00,735.5,737.0,735.0,736.5,11476
2019/8/2 星期五,10:35:00,736.0,739.0,736.0,738.0,16640
2019/8/2 星期五,10:40:00,738.5,739.0,737.5,737.5,7994
2019/8/2 星期五,10:45:00,738.0,738.5,737.0,737.5,6056
2019/8/2 星期五,10:50:00,738.0,738.0,736.5,738.0,7886
2019/8/2 星期五,10:55:00,738.0,738.0,737.0,737.5,2694
2019/8/2 星期五,11:00:00,737.5,741.0,737.5,741.0,26034
2019/8/2 星期五,11:05:00,741.0,741.0,736.0,737.5,23712
2019/8/2 星期五,11:10:00,737.5,738.0,736.0,736.0,8230
2019/8/2 星期五,11:15:00,736.0,737.5,736.0,737.0,9110
2019/8/2 星期五,11:20:00,737.0,738.5,737.0,738.0,9326
2019/8/2 星期五,11:25:00,738.0,743.0,737.5,738.0,46886
2019/8/2 星期五,11:30:00,738.0,739.0,737.5,738.5,11100
2019/8/2 星期五,13:35:00,738.0,738.0,735.0,735.0,33714
2019/8/2 星期五,13:40:00,735.5,735.5,733.0,735.0,26892
2019/8/2 星期五,13:45:00,735.0,735.0,732.0,733.5,30544
2019/8/2 星期五,13:50:00,734.0,734.5,732.0,732.0,19542
2019/8/2 星期五,13:55:00,732.5,733.5,731.5,733.0,15484
2019/8/2 星期五,14:00:00,732.5,733.0,731.0,732.0,13826
2019/8/2 星期五,14:05:00,732.0,732.0,729.0,730.5,40044
2019/8/2 星期五,14:10:00,730.5,733.0,730.0,732.5,23260
2019/8/2 星期五,14:15:00,733.0,733.0,731.0,732.5,12094
2019/8/2 星期五,14:20:00,732.0,732.0,728.5,728.5,26100
2019/8/2 星期五,14:25:00,728.5,731.0,728.5,730.0,24214
2019/8/2 星期五,14:30:00,729.5,731.0,728.5,729.5,21750
2019/8/2 星期五,14:35:00,730.0,732.0,729.0,731.0,16778
2019/8/2 星期五,14:40:00,731.0,733.0,730.5,731.0,23342
2019/8/2 星期五,14:45:00,731.0,734.5,731.0,733.0,32452
2019/8/2 星期五,14:50:00,733.0,733.5,731.0,731.0,16066
2019/8/2 星期五,14:55:00,731.5,732.5,728.0,728.0,31796
2019/8/2 星期五,15:00:00,728.5,729.5,724.0,724.5,86698
2019/8/2 星期五,21:05:00,718.0,726.0,716.0,723.0,139908
2019/8/2 星期五,21:10:00,723.5,725.5,723.0,724.0,47610
2019/8/2 星期五,21:15:00,724.0,725.5,720.0,721.0,61982
2019/8/2 星期五,21:20:00,721.0,723.5,720.5,720.5,36992
2019/8/2 星期五,21:25:00,720.5,722.0,718.5,719.0,40392
2019/8/2 星期五,21:30:00,719.5,726.0,719.0,726.0,54886
2019/8/2 星期五,21:35:00,726.0,729.0,725.0,726.0,57048
2019/8/2 星期五,21:40:00,725.5,726.0,723.5,725.0,23272
2019/8/2 星期五,21:45:00,725.0,725.0,722.5,723.0,17560
2019/8/2 星期五,21:50:00,723.5,724.0,721.5,721.5,14428
2019/8/2 星期五,21:55:00,721.5,725.0,721.5,724.5,24272
2019/8/2 星期五,22:00:00,724.5,724.5,722.0,722.5,11462
2019/8/2 星期五,22:05:00,722.5,724.0,722.0,723.0,11960
2019/8/2 星期五,22:10:00,723.0,724.0,721.5,722.0,13164
2019/8/2 星期五,22:15:00,722.0,723.0,721.5,722.5,7512
2019/8/2 星期五,22:20:00,722.5,724.0,722.0,723.0,7806
2019/8/2 星期五,22:25:00,723.5,723.5,719.5,720.5,30598
2019/8/2 星期五,22:30:00,720.0,721.5,719.5,720.5,21542
2019/8/2 星期五,22:35:00,720.5,722.0,719.0,719.0,24654
2019/8/2 星期五,22:40:00,719.0,721.0,718.0,718.5,37136
2019/8/2 星期五,22:45:00,718.5,721.5,718.5,720.5,26930
2019/8/2 星期五,22:50:00,720.0,720.5,718.0,719.5,18424
2019/8/2 星期五,22:55:00,719.0,720.0,712.0,715.0,85996
2019/8/2 星期五,23:00:00,715.5,719.0,713.5,718.0,60216
2019/8/5 星期一,09:05:00,715.0,720.0,712.5,714.5,98128
2019/8/5 星期一,09:10:00,714.0,718.5,713.5,718.0,47378
2019/8/5 星期一,09:15:00,718.0,721.0,717.0,718.5,55158
2019/8/5 星期一,09:20:00,718.5,720.0,715.5,716.5,28046
2019/8/5 星期一,09:25:00,716.5,718.0,714.5,714.5,28618
2019/8/5 星期一,09:30:00,715.0,717.0,714.0,715.0,22930
2019/8/5 星期一,09:35:00,714.5,715.5,711.0,712.0,45510
2019/8/5 星期一,09:40:00,712.5,712.5,704.5,709.5,127880
2019/8/5 星期一,09:45:00,709.5,712.5,707.5,710.5,50280
2019/8/5 星期一,09:50:00,710.5,711.5,708.0,709.0,21058
2019/8/5 星期一,09:55:00,709.5,712.0,709.0,710.0,21134
2019/8/5 星期一,10:00:00,710.5,711.5,708.5,709.5,16696
2019/8/5 星期一,10:05:00,709.5,712.5,708.5,712.0,20894
2019/8/5 星期一,10:10:00,712.0,713.5,711.0,713.0,26144
2019/8/5 星期一,10:15:00,712.5,713.5,711.5,713.0,11708
2019/8/5 星期一,10:35:00,713.0,714.0,710.5,711.5,18064
2019/8/5 星期一,10:40:00,711.5,712.0,709.0,709.5,17578
2019/8/5 星期一,10:45:00,709.0,712.5,708.0,712.0,19622
2019/8/5 星期一,10:50:00,712.0,713.0,711.5,712.0,12776
2019/8/5 星期一,10:55:00,712.5,712.5,710.0,712.0,9076
2019/8/5 星期一,11:00:00,712.0,712.5,710.0,711.5,6770
2019/8/5 星期一,11:05:00,711.0,712.5,710.5,712.0,7044
2019/8/5 星期一,11:10:00,712.0,712.5,710.0,710.5,9188
2019/8/5 星期一,11:15:00,710.0,710.5,707.5,709.5,24294
2019/8/5 星期一,11:20:00,709.5,710.0,705.5,707.5,29216
2019/8/5 星期一,11:25:00,707.5,709.0,705.0,709.0,26262
2019/8/5 星期一,11:30:00,709.0,709.0,705.5,706.0,17948
2019/8/5 星期一,13:35:00,703.5,706.0,700.0,700.5,124620
2019/8/5 星期一,13:40:00,700.5,700.5,692.0,696.5,150716
2019/8/5 星期一,13:45:00,696.0,699.0,695.5,696.0,55212
2019/8/5 星期一,13:50:00,696.0,698.5,694.5,694.5,38892
2019/8/5 星期一,13:55:00,695.0,697.0,692.5,695.5,43314
2019/8/5 星期一,14:00:00,696.0,696.0,692.5,693.5,28696
2019/8/5 星期一,14:05:00,694.0,694.0,691.5,692.5,38610
2019/8/5 星期一,14:10:00,692.5,697.0,692.5,696.0,35304
2019/8/5 星期一,14:15:00,695.5,696.5,693.0,693.0,17554
2019/8/5 星期一,14:20:00,693.0,694.5,690.5,691.5,40808
2019/8/5 星期一,14:25:00,691.5,693.0,689.5,691.5,76578
2019/8/5 星期一,14:30:00,691.5,694.5,690.5,691.0,44100
2019/8/5 星期一,14:35:00,691.5,693.0,690.5,690.5,19228
2019/8/5 星期一,14:40:00,690.5,692.5,689.5,691.0,29514
2019/8/5 星期一,14:45:00,691.0,693.5,690.0,692.5,29868
2019/8/5 星期一,14:50:00,692.0,696.5,692.0,694.5,49868
2019/8/5 星期一,14:55:00,694.5,695.5,692.0,692.0,27484
2019/8/5 星期一,15:00:00,692.0,693.0,689.5,689.5,57670
2019/8/5 星期一,21:05:00,691.0,696.0,689.0,695.5,128126
2019/8/5 星期一,21:10:00,695.5,695.5,693.0,694.5,48842
2019/8/5 星期一,21:15:00,694.0,695.0,692.0,694.0,26628
2019/8/5 星期一,21:20:00,694.0,698.5,694.0,698.0,61132
2019/8/5 星期一,21:25:00,697.5,704.0,696.5,702.5,91730
2019/8/5 星期一,21:30:00,702.5,703.5,700.5,702.5,40638
2019/8/5 星期一,21:35:00,702.5,703.0,700.5,702.0,30342
2019/8/5 星期一,21:40:00,701.5,702.0,699.5,700.5,24892
2019/8/5 星期一,21:45:00,701.0,702.5,700.0,701.5,24466
2019/8/5 星期一,21:50:00,701.0,701.5,698.5,701.0,33874
2019/8/5 星期一,21:55:00,701.0,704.0,700.0,704.0,54814
2019/8/5 星期一,22:00:00,704.0,705.0,702.5,703.0,47642
2019/8/5 星期一,22:05:00,703.0,704.5,702.0,702.0,31228
2019/8/5 星期一,22:10:00,702.5,703.5,701.5,702.5,20082
2019/8/5 星期一,22:15:00,702.0,702.5,699.0,701.5,27236
2019/8/5 星期一,22:20:00,701.5,702.5,699.5,702.5,29790
2019/8/5 星期一,22:25:00,702.5,703.0,701.5,703.0,20998
2019/8/5 星期一,22:30:00,703.0,703.5,700.5,701.0,18714
2019/8/5 星期一,22:35:00,701.0,702.0,701.0,701.0,4482
2019/8/5 星期一,22:40:00,701.0,703.5,700.5,702.5,16856
2019/8/5 星期一,22:45:00,702.5,704.0,702.5,703.5,16246
2019/8/5 星期一,22:50:00,703.5,703.5,701.5,703.0,16402
