<Date>, <Time>, <Open>, <High>, <Low>, <Close>, <Volume>
2019/8/1 星期四,09:05:00,4481,4481,4463,4473,12640
2019/8/1 星期四,09:10:00,4473,4482,4468,4474,4862
2019/8/1 星期四,09:15:00,4474,4486,4473,4483,5300
2019/8/1 星期四,09:20:00,4483,4496,4477,4491,9846
2019/8/1 星期四,09:25:00,4490,4512,4490,4501,19618
2019/8/1 星期四,09:30:00,4500,4502,4482,4486,9448
2019/8/1 星期四,09:35:00,4487,4495,4477,4486,9138
2019/8/1 星期四,09:40:00,4484,4490,4482,4488,2474
2019/8/1 星期四,09:45:00,4488,4490,4483,4483,1518
2019/8/1 星期四,09:50:00,4483,4488,4482,4483,1444
2019/8/1 星期四,09:55:00,4484,4485,4478,4480,2152
2019/8/1 星期四,10:00:00,4480,4480,4472,4477,4110
2019/8/1 星期四,10:05:00,4477,4478,4454,4464,9460
2019/8/1 星期四,10:10:00,4464,4465,4454,4465,5682
2019/8/1 星期四,10:15:00,4465,4473,4461,4462,4896
2019/8/1 星期四,10:35:00,4461,4462,4447,4454,8398
2019/8/1 星期四,10:40:00,4455,4459,4451,4459,3108
2019/8/1 星期四,10:45:00,4458,4463,4454,4460,3260
2019/8/1 星期四,10:50:00,4460,4464,4454,4456,2088
2019/8/1 星期四,10:55:00,4456,4460,4451,4455,3256
2019/8/1 星期四,11:00:00,4454,4459,4451,4452,1862
2019/8/1 星期四,11:05:00,4451,4460,4451,4458,1698
2019/8/1 星期四,11:10:00,4458,4462,4458,4460,1878
2019/8/1 星期四,11:15:00,4460,4461,4456,4458,694
2019/8/1 星期四,11:20:00,4458,4464,4456,4463,1024
2019/8/1 星期四,11:25:00,4463,4463,4460,4461,918
2019/8/1 星期四,11:30:00,4459,4460,4452,4454,1922
2019/8/1 星期四,13:35:00,4453,4454,4437,4447,8326
2019/8/1 星期四,13:40:00,4446,4450,4443,4445,2662
2019/8/1 星期四,13:45:00,4446,4450,4444,4445,2212
2019/8/1 星期四,13:50:00,4445,4446,4433,4444,4936
2019/8/1 星期四,13:55:00,4443,4449,4443,4446,2080
2019/8/1 星期四,14:00:00,4446,4446,4440,4442,1148
2019/8/1 星期四,14:05:00,4442,4442,4435,4439,3134
2019/8/1 星期四,14:10:00,4439,4441,4437,4439,1246
