<Date>, <Time>, <Open>, <High>, <Low>, <Close>, <Volume>
2019/8/1 星期四,09:05:00,7590,7590,7570,7580,6966
2019/8/1 星期四,09:10:00,7580,7590,7575,7580,5088
2019/8/1 星期四,09:15:00,7580,7580,7565,7575,3422
2019/8/1 星期四,09:20:00,7575,7580,7570,7580,2536
2019/8/1 星期四,09:25:00,7575,7580,7570,7580,1866
2019/8/1 星期四,09:30:00,7585,7595,7585,7590,3508
2019/8/1 星期四,09:35:00,7590,7590,7580,7585,1448
2019/8/1 星期四,09:40:00,7590,7595,7585,7595,1822
2019/8/1 星期四,09:45:00,7595,7600,7585,7595,1980
2019/8/1 星期四,09:50:00,7590,7595,7585,7595,1378
2019/8/1 星期四,09:55:00,7590,7595,7590,7590,800
2019/8/1 星期四,10:00:00,7590,7595,7590,7595,1162
2019/8/1 星期四,10:05:00,7595,7600,7595,7600,3022
2019/8/1 星期四,10:10:00,7600,7610,7595,7605,4604
2019/8/1 星期四,10:15:00,7610,7620,7605,7615,6142
2019/8/1 星期四,10:35:00,7615,7620,7605,7605,3362
2019/8/1 星期四,10:40:00,7605,7610,7590,7600,2634
2019/8/1 星期四,10:45:00,7605,7605,7595,7600,698
2019/8/1 星期四,10:50:00,7600,7600,7580,7585,6744
2019/8/1 星期四,10:55:00,7585,7590,7580,7585,1164
2019/8/1 星期四,11:00:00,7585,7590,7585,7585,1052
2019/8/1 星期四,11:05:00,7585,7595,7585,7590,1698
2019/8/1 星期四,11:10:00,7590,7595,7590,7595,866
2019/8/1 星期四,11:15:00,7595,7595,7585,7590,598
2019/8/1 星期四,11:20:00,7585,7590,7585,7590,212
2019/8/1 星期四,11:25:00,7590,7590,7585,7585,440
2019/8/1 星期四,11:30:00,7590,7595,7585,7590,686
2019/8/1 星期四,13:35:00,7590,7610,7590,7605,4498
2019/8/1 星期四,13:40:00,7605,7610,7600,7605,2844
2019/8/1 星期四,13:45:00,7605,7615,7605,7610,1312
2019/8/1 星期四,13:50:00,7610,7615,7605,7615,2082
2019/8/1 星期四,13:55:00,7615,7620,7610,7610,2610
2019/8/1 星期四,14:00:00,7610,7625,7610,7625,5172
2019/8/1 星期四,14:05:00,7625,7625,7615,7620,4896
2019/8/1 星期四,14:10:00,7620,7625,7620,7625,4010
2019/8/1 星期四,14:15:00,7625,7625,7620,7620,756
2019/8/1 星期四,14:20:00,7620,7625,7615,7615,1600
