<Date>, <Time>, <Open>, <High>, <Low>, <Close>, <Volume>
2019/8/1 星期四,09:05:00,8243,8251,8220,8246,11156
2019/8/1 星期四,09:10:00,8245,8265,8242,8263,10088
2019/8/1 星期四,09:15:00,8260,8263,8251,8253,5020
2019/8/1 星期四,09:20:00,8253,8275,8253,8271,8066
2019/8/1 星期四,09:25:00,8270,8278,8264,8276,5892
2019/8/1 星期四,09:30:00,8277,8291,8276,8287,13450
2019/8/1 星期四,09:35:00,8287,8289,8271,8275,4752
2019/8/1 星期四,09:40:00,8273,8280,8271,8277,3230
2019/8/1 星期四,09:45:00,8278,8285,8275,8284,6778
2019/8/1 星期四,09:50:00,8283,8285,8272,8279,2672
2019/8/1 星期四,09:55:00,8280,8285,8278,8280,2386
2019/8/1 星期四,10:00:00,8280,8288,8279,8287,2632
2019/8/1 星期四,10:05:00,8287,8294,8286,8293,4592
2019/8/1 星期四,10:10:00,8293,8299,8291,8295,8232
2019/8/1 星期四,10:15:00,8295,8299,8291,8293,4186
2019/8/1 星期四,10:35:00,8295,8296,8280,8285,5378
2019/8/1 星期四,10:40:00,8285,8286,8276,8282,4170
2019/8/1 星期四,10:45:00,8280,8282,8276,8281,2292
2019/8/1 星期四,10:50:00,8279,8280,8271,8275,4060
2019/8/1 星期四,10:55:00,8275,8280,8274,8277,2634
2019/8/1 星期四,11:00:00,8275,8279,8272,8272,1368
2019/8/1 星期四,11:05:00,8273,8280,8271,8280,2358
2019/8/1 星期四,11:10:00,8280,8284,8278,8281,1852
2019/8/1 星期四,11:15:00,8282,8282,8270,8271,2684
2019/8/1 星期四,11:20:00,8271,8277,8266,8276,2206
2019/8/1 星期四,11:25:00,8277,8277,8270,8272,1074
2019/8/1 星期四,11:30:00,8272,8281,8270,8279,1836
2019/8/1 星期四,13:35:00,8279,8284,8274,8281,6446
2019/8/1 星期四,13:40:00,8282,8287,8277,8281,7156
2019/8/1 星期四,13:45:00,8283,8284,8273,8278,2108
2019/8/1 星期四,13:50:00,8278,8281,8275,8280,1776
2019/8/1 星期四,13:55:00,8281,8285,8275,8275,1996
2019/8/1 星期四,14:00:00,8275,8280,8272,8279,1836
2019/8/1 星期四,14:05:00,8280,8293,8275,8293,3312
2019/8/1 星期四,14:10:00,8292,8305,8288,8300,10478
2019/8/1 星期四,14:15:00,8299,8301,8293,8295,3302
2019/8/1 星期四,14:20:00,8295,8295,8277,8286,4680
2019/8/1 星期四,14:25:00,8286,8286,8282,8285,830
2019/8/1 星期四,14:30:00,8286,8289,8281,8284,1244
2019/8/1 星期四,14:35:00,8285,8288,8283,8286,674
2019/8/1 星期四,14:40:00,8286,8295,8285,8290,2264
2019/8/1 星期四,14:45:00,8288,8298,8288,8292,2478
2019/8/1 星期四,14:50:00,8292,8293,8282,8287,2284
2019/8/1 星期四,14:55:00,8287,8300,8287,8300,2978
2019/8/1 星期四,15:00:00,8299,8300,8290,8295,4346
2019/8/2 星期五,09:05:00,8250,8250,8148,8159,48932
2019/8/2 星期五,09:10:00,8161,8220,8150,8201,24242
2019/8/2 星期五,09:15:00,8199,8218,8188,8215,15656
2019/8/2 星期五,09:20:00,8215,8217,8190,8191,13568
2019/8/2 星期五,09:25:00,8191,8211,8185,8207,7694
2019/8/2 星期五,09:30:00,8208,8236,8206,8229,10346
2019/8/2 星期五,09:35:00,8227,8229,8221,8226,3686
2019/8/2 星期五,09:40:00,8226,8236,8216,8216,5394
2019/8/2 星期五,09:45:00,8216,8228,8216,8228,1848
2019/8/2 星期五,09:50:00,8227,8230,8214,8220,3132
2019/8/2 星期五,09:55:00,8220,8224,8212,8214,4552
2019/8/2 星期五,10:00:00,8214,8224,8213,8213,2684
2019/8/2 星期五,10:05:00,8215,8229,8210,8228,3610
2019/8/2 星期五,10:10:00,8228,8242,8220,8223,6262
2019/8/2 星期五,10:15:00,8222,8230,8222,8230,2348
2019/8/2 星期五,10:35:00,8230,8240,8228,8230,2274
2019/8/2 星期五,10:40:00,8230,8234,8226,8231,1798
2019/8/2 星期五,10:45:00,8231,8237,8231,8233,1892
2019/8/2 星期五,10:50:00,8234,8243,8232,8240,2142
2019/8/2 星期五,10:55:00,8240,8243,8230,8230,1614
2019/8/2 星期五,11:00:00,8230,8240,8225,8227,3274
2019/8/2 星期五,11:05:00,8225,8229,8219,8221,4058
2019/8/2 星期五,11:10:00,8221,8226,8216,8220,1918
2019/8/2 星期五,11:15:00,8221,8227,8219,8225,1540
2019/8/2 星期五,11:20:00,8226,8227,8223,8223,800
2019/8/2 星期五,11:25:00,8224,8230,8221,8222,2266
2019/8/2 星期五,11:30:00,8223,8224,8216,8218,2012
2019/8/2 星期五,13:35:00,8218,8218,8208,8212,3174
2019/8/2 星期五,13:40:00,8212,8215,8205,8209,2468
2019/8/2 星期五,13:45:00,8209,8210,8203,8205,2112
2019/8/2 星期五,13:50:00,8207,8210,8204,8210,1486
2019/8/2 星期五,13:55:00,8208,8214,8208,8213,1658
2019/8/2 星期五,14:00:00,8213,8218,8208,8213,2798
